Номер замера,Показание,Время
1,25.31,16:29:36
17,25.31,16:29:36
33,25.31,16:29:36
49,25.31,16:29:36
65,25.31,16:29:36
1,25.31,16:29:37
17,25.2905,16:29:37
33,25.31,16:29:37
49,25.31,16:29:37
1,25.2905,16:29:38
17,25.31,16:29:38
33,25.31,16:29:38
49,25.31,16:29:38
1,25.2905,16:29:39
17,25.31,16:29:39
33,25.2905,16:29:39
49,25.31,16:29:39
1,25.31,16:29:40
17,25.31,16:29:40
33,25.2905,16:29:40
49,25.31,16:29:40
1,25.31,16:29:41
17,25.31,16:29:41
33,25.31,16:29:41
49,25.2905,16:29:41
1,25.31,16:29:42
17,25.2905,16:29:42
33,25.31,16:29:42
49,25.31,16:29:42
1,25.2905,16:29:43
17,25.31,16:29:43
33,25.31,16:29:43
49,25.31,16:29:43
1,25.2905,16:29:44
17,25.31,16:29:44
33,25.31,16:29:44
49,25.31,16:29:44
1,25.31,16:29:45
17,25.31,16:29:45
33,25.31,16:29:45
49,25.31,16:29:45
1,25.31,16:29:46
17,25.31,16:29:46
33,25.31,16:29:46
49,25.3296,16:29:46
1,25.31,16:29:47
17,25.3296,16:29:47
33,25.3296,16:29:47
49,25.31,16:29:47
1,25.3296,16:29:48
17,25.31,16:29:48
33,25.3296,16:29:48
49,25.31,16:29:48
1,25.31,16:29:49
17,25.31,16:29:49
33,25.31,16:29:49
49,25.31,16:29:49
1,25.31,16:29:50
17,25.2905,16:29:50
33,25.31,16:29:50
49,25.31,16:29:50
1,25.31,16:29:51
17,25.31,16:29:51
33,25.31,16:29:51
49,25.31,16:29:51
65,25.31,16:29:51
