Number;Measure;Time
1;27.7749;13:11:28
3;27.6967;13:11:28
17;27.7945;13:11:28
19;27.6575;13:11:28
33;27.7945;13:11:28
35;27.6967;13:11:28
49;27.7749;13:11:28
51;27.6967;13:11:28
65;27.7945;13:11:28
67;27.6575;13:11:28
1;27.7945;13:11:28
3;27.6575;13:11:28
17;27.7749;13:11:28
19;27.6967;13:11:28
33;27.7945;13:11:28
35;27.6967;13:11:28
49;27.7945;13:11:28
51;27.6575;13:11:28
65;27.7749;13:11:28
67;27.6967;13:11:28
1;27.7945;13:11:29
3;27.6575;13:11:29
17;27.7945;13:11:29
19;27.6967;13:11:29
33;27.7945;13:11:29
35;27.6575;13:11:29
49;27.7749;13:11:29
51;27.6967;13:11:29
65;27.7945;13:11:29
67;27.6575;13:11:29
1;27.7749;13:11:29
3;27.6967;13:11:29
17;27.7945;13:11:29
19;27.6575;13:11:29
33;27.7749;13:11:29
35;27.6967;13:11:29
49;27.7945;13:11:29
51;27.6575;13:11:29
65;27.7945;13:11:29
67;27.6967;13:11:29
1;27.7749;13:11:30
3;27.6575;13:11:30
17;27.7945;13:11:30
19;27.6967;13:11:30
33;27.7945;13:11:30
35;27.6967;13:11:30
49;27.7749;13:11:30
51;27.6575;13:11:30
65;27.7945;13:11:30
67;27.6967;13:11:30
1;27.7945;13:11:30
3;27.6575;13:11:30
17;27.7749;13:11:30
19;27.6967;13:11:30
33;27.7945;13:11:30
35;27.6575;13:11:30
49;27.7749;13:11:30
51;27.6967;13:11:30
65;27.7945;13:11:30
67;27.6575;13:11:30
1;27.7945;13:11:31
3;27.6967;13:11:31
17;27.7749;13:11:31
19;27.6575;13:11:31
33;27.7945;13:11:31
35;27.6575;13:11:31
49;27.7749;13:11:31
51;27.6967;13:11:31
65;27.7945;13:11:31
67;27.6575;13:11:31
1;27.7749;13:11:31
3;27.6967;13:11:31
17;27.7945;13:11:31
19;27.6575;13:11:31
33;27.7749;13:11:31
35;27.6967;13:11:31
49;27.7945;13:11:31
51;27.6575;13:11:31
65;27.7749;13:11:31
67;27.6575;13:11:31
1;27.7945;13:11:32
3;27.6575;13:11:32
17;27.7749;13:11:32
19;27.6967;13:11:32
33;27.7945;13:11:32
35;27.6575;13:11:32
49;27.7749;13:11:32
51;27.6575;13:11:32
65;27.7945;13:11:32
67;27.6575;13:11:32
1;27.7749;13:11:32
3;27.6967;13:11:32
17;27.7749;13:11:32
19;27.6575;13:11:32
33;27.7945;13:11:32
35;27.6575;13:11:32
49;27.7749;13:11:32
51;27.6575;13:11:32
65;27.7945;13:11:32
67;27.6575;13:11:32
1;27.7749;13:11:33
3;27.6967;13:11:33
17;27.7945;13:11:33
19;27.6575;13:11:33
33;27.7749;13:11:33
35;27.6575;13:11:33
49;27.7945;13:11:33
51;27.6967;13:11:33
65;27.7749;13:11:33
67;27.6575;13:11:33
1;27.7749;13:11:33
3;27.6575;13:11:33
17;27.7945;13:11:33
19;27.6967;13:11:33
33;27.7749;13:11:33
35;27.6575;13:11:33
49;27.7749;13:11:33
51;27.6575;13:11:33
65;27.7945;13:11:33
67;27.6575;13:11:33
1;27.7749;13:11:34
3;27.6575;13:11:34
17;27.7749;13:11:34
19;27.6967;13:11:34
33;27.7945;13:11:34
35;27.6575;13:11:34
49;27.7749;13:11:34
51;27.6575;13:11:34
65;27.7945;13:11:34
67;27.6967;13:11:34
1;27.7749;13:11:34
3;27.6575;13:11:34
17;27.7749;13:11:34
19;27.6967;13:11:34
33;27.7945;13:11:34
35;27.6575;13:11:34
49;27.7749;13:11:34
51;27.6575;13:11:34
65;27.7749;13:11:34
67;27.6575;13:11:34
1;27.7749;13:11:35
3;27.6967;13:11:35
17;27.7945;13:11:35
19;27.6575;13:11:35
33;27.7749;13:11:35
35;27.6575;13:11:35
49;27.7749;13:11:35
51;27.6967;13:11:35
65;27.7749;13:11:35
67;27.6575;13:11:35
1;27.7945;13:11:35
3;27.6967;13:11:35
17;27.7749;13:11:35
19;27.6575;13:11:35
33;27.7749;13:11:35
35;27.6575;13:11:35
49;27.7945;13:11:35
51;27.6575;13:11:35
65;27.7749;13:11:35
67;27.6967;13:11:35
1;27.7749;13:11:36
3;27.6575;13:11:36
17;27.7945;13:11:36
19;27.6575;13:11:36
33;27.7749;13:11:36
35;27.6575;13:11:36
49;27.7749;13:11:36
51;27.6967;13:11:36
65;27.7749;13:11:36
67;27.6575;13:11:36
1;27.7945;13:11:36
3;27.6575;13:11:36
17;27.7749;13:11:36
19;27.6575;13:11:36
33;27.7945;13:11:36
35;27.6967;13:11:36
49;27.7749;13:11:36
51;27.6575;13:11:36
65;27.7749;13:11:36
67;27.6575;13:11:36
1;27.7945;13:11:37
3;27.6575;13:11:37
17;27.7749;13:11:37
19;27.6575;13:11:37
33;27.7749;13:11:37
35;27.6575;13:11:37
49;27.7945;13:11:37
51;27.6575;13:11:37
65;27.7749;13:11:37
67;27.6575;13:11:37
1;27.7749;13:11:37
3;27.6575;13:11:37
17;27.7749;13:11:37
19;27.6575;13:11:37
33;27.7945;13:11:37
35;27.6967;13:11:37
49;27.7749;13:11:37
51;27.6575;13:11:37
65;27.7749;13:11:37
67;27.6575;13:11:37
1;27.7749;13:11:38
3;27.6575;13:11:38
17;27.7945;13:11:38
19;27.6967;13:11:38
33;27.7749;13:11:38
35;27.6575;13:11:38
49;27.7749;13:11:38
51;27.6575;13:11:38
65;27.7945;13:11:38
67;27.6575;13:11:38
1;27.7749;13:11:38
3;27.6575;13:11:38
17;27.7749;13:11:38
19;27.6967;13:11:38
33;27.7749;13:11:38
35;27.6575;13:11:38
49;27.7945;13:11:38
51;27.6575;13:11:38
65;27.7749;13:11:38
67;27.6575;13:11:38
1;27.7749;13:11:39
3;27.6575;13:11:39
17;27.7945;13:11:39
19;27.6575;13:11:39
33;27.7749;13:11:39
35;27.6575;13:11:39
49;27.7945;13:11:39
51;27.6575;13:11:39
65;27.7749;13:11:39
67;27.6575;13:11:39
1;27.7749;13:11:39
3;27.6575;13:11:39
17;27.7945;13:11:39
19;27.6575;13:11:39
33;27.7749;13:11:39
35;27.6575;13:11:39
49;27.7749;13:11:39
51;27.6575;13:11:39
65;27.7945;13:11:39
67;27.6575;13:11:39
1;27.7749;13:11:40
3;27.6575;13:11:40
17;27.7749;13:11:40
19;27.6575;13:11:40
33;27.7945;13:11:40
35;27.6575;13:11:40
49;27.7749;13:11:40
51;27.6575;13:11:40
65;27.7749;13:11:40
67;27.6575;13:11:40
1;27.7749;13:11:40
3;27.6575;13:11:40
17;27.7749;13:11:40
19;27.6575;13:11:40
33;27.7749;13:11:40
35;27.6575;13:11:40
49;27.7945;13:11:40
51;27.6575;13:11:40
65;27.7749;13:11:40
67;27.6575;13:11:40
1;27.7749;13:11:41
3;27.638;13:11:41
17;27.7749;13:11:41
19;27.6575;13:11:41
33;27.7749;13:11:41
35;27.6575;13:11:41
49;27.7749;13:11:41
51;27.6575;13:11:41
65;27.7749;13:11:41
67;27.6575;13:11:41
1;27.7749;13:11:41
3;27.6575;13:11:41
17;27.7945;13:11:41
19;27.6575;13:11:41
33;27.7749;13:11:41
35;27.6575;13:11:41
49;27.7749;13:11:41
51;27.6575;13:11:41
65;27.7749;13:11:41
67;27.638;13:11:41
1;27.7749;13:11:42
3;27.6575;13:11:42
17;27.7749;13:11:42
19;27.6575;13:11:42
33;27.7749;13:11:42
35;27.6575;13:11:42
49;27.7749;13:11:42
51;27.6575;13:11:42
65;27.7749;13:11:42
67;27.6575;13:11:42
1;27.7749;13:11:42
3;27.6575;13:11:42
17;27.7749;13:11:42
19;27.6575;13:11:42
33;27.7358;13:11:42
35;27.6575;13:11:42
49;27.7749;13:11:42
51;27.6575;13:11:42
65;27.7749;13:11:42
67;27.6575;13:11:42
1;27.7749;13:11:43
3;27.6575;13:11:43
17;27.7749;13:11:43
19;27.6575;13:11:43
33;27.7749;13:11:43
35;27.6575;13:11:43
49;27.7749;13:11:43
51;27.6575;13:11:43
65;27.7749;13:11:43
67;27.6575;13:11:43
1;27.7749;13:11:43
3;27.6575;13:11:43
17;27.7749;13:11:43
19;27.6575;13:11:43
33;27.7749;13:11:43
35;27.6575;13:11:43
49;27.7749;13:11:43
51;27.6575;13:11:43
65;27.7358;13:11:43
67;27.6575;13:11:43
1;27.7749;13:11:44
3;27.6575;13:11:44
17;27.7749;13:11:44
19;27.6575;13:11:44
33;27.7749;13:11:44
35;27.6575;13:11:44
49;27.7749;13:11:44
51;27.6575;13:11:44
65;27.7749;13:11:44
67;27.638;13:11:44
1;27.7749;13:11:44
3;27.6575;13:11:44
17;27.7358;13:11:44
19;27.6967;13:11:44
33;27.7749;13:11:44
35;27.6575;13:11:44
49;27.7749;13:11:44
51;27.6575;13:11:44
65;27.7749;13:11:44
67;27.638;13:11:44
1;27.7749;13:11:45
3;27.6575;13:11:45
17;27.7749;13:11:45
19;27.6575;13:11:45
33;27.7358;13:11:45
