Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
22;25.9282;-256.41;25.8852;-256.41;-256.758;-256.41;-256.269;-256.41;-256.708;-256.41;-256.911;-256.41;-256.919;-256.41;-255.996;-256.41;14:23:04
23;25.9282;-256.41;25.893;-256.41;-256.762;-256.41;-256.262;-256.41;-256.7;-256.41;-256.903;-256.41;-256.927;-256.41;-255.996;-256.41;14:23:04
24;25.936;-256.41;25.9008;-256.41;-256.766;-256.41;-256.269;-256.41;-256.708;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:23:04
25;25.936;-256.41;25.893;-256.41;-256.758;-256.41;-256.269;-256.41;-256.708;-256.41;-256.895;-256.41;-256.919;-256.41;-255.996;-256.41;14:23:05
26;25.9282;-256.41;25.893;-256.41;-256.762;-256.41;-256.262;-256.41;-256.708;-256.41;-256.903;-256.41;-256.927;-256.41;-255.996;-256.41;14:23:05
27;25.936;-256.41;25.893;-256.41;-256.758;-256.41;-256.262;-256.41;-256.708;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:23:06
28;25.9282;-256.41;25.893;-256.41;-256.758;-256.41;-256.262;-256.41;-256.708;-256.41;-256.903;-256.41;-256.935;-256.41;-255.996;-256.41;14:23:06
29;25.9282;-256.41;25.893;-256.41;-256.758;-256.41;-256.269;-256.41;-256.708;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:23:07
30;25.9282;-256.41;25.893;-256.41;-256.758;-256.41;-256.262;-256.41;-256.708;-256.41;-256.903;-256.41;-256.935;-256.41;-256.003;-256.41;14:23:07
31;25.9282;-256.41;25.9008;-256.41;-256.755;-256.41;-256.262;-256.41;-256.708;-256.41;-256.895;-256.41;-256.935;-256.41;-255.996;-256.41;14:23:08
32;25.9282;-256.41;25.893;-256.41;-256.758;-256.41;-256.269;-256.41;-256.7;-256.41;-256.911;-256.41;-256.935;-256.41;-256.003;-256.41;14:23:08
33;25.936;-256.41;25.893;-256.41;-256.755;-256.41;-256.262;-256.41;-256.708;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:23:09
34;25.9282;-256.41;25.893;-256.41;-256.758;-256.41;-256.262;-256.41;-256.708;-256.41;-256.895;-256.41;-256.935;-256.41;-255.996;-256.41;14:23:09
35;25.936;-256.41;25.9008;-256.41;-256.758;-256.41;-256.262;-256.41;-256.708;-256.41;-256.895;-256.41;-256.927;-256.41;-256.003;-256.41;14:23:10
36;25.936;-256.41;25.893;-256.41;-256.758;-256.41;-256.269;-256.41;-256.7;-256.41;-256.895;-256.41;-256.935;-256.41;-256.003;-256.41;14:23:10
37;25.9282;-256.41;25.893;-256.41;-256.755;-256.41;-256.262;-256.41;-256.708;-256.41;-256.895;-256.41;-256.935;-256.41;-255.996;-256.41;14:23:11
38;25.936;-256.41;25.9008;-256.41;-256.755;-256.41;-256.262;-256.41;-256.7;-256.41;-256.895;-256.41;-256.935;-256.41;-255.996;-256.41;14:23:11
39;25.9439;-256.41;25.9008;-256.41;-256.755;-256.41;-256.262;-256.41;-256.708;-256.41;-256.895;-256.41;-256.927;-256.41;-256.003;-256.41;14:23:12
40;25.936;-256.41;25.8852;-256.41;-256.758;-256.41;-256.262;-256.41;-256.708;-256.41;-256.895;-256.41;-256.935;-256.41;-255.996;-256.41;14:23:12
