Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time;Delta T1;DeltaT2;
1605;30.0011;29.6842;-256.762;-256.254;-256.684;-256.903;-256.942;-255.972;9:33:00;0.3169;30.0755;0.3404
1606;29.9855;29.6842;-256.762;-256.254;-256.684;-256.919;-256.95;-255.972;9:33:01;0.3013;29.9542;0.1213
1607;29.9933;29.692;-256.762;-256.254;-256.684;-256.911;-256.942;-255.972;9:33:01;0.3013;;
1608;29.9933;29.692;-256.77;-256.254;-256.684;-256.911;-256.935;-255.964;9:33:02;0.3013;;
1609;29.9933;29.692;-256.762;-256.262;-256.692;-256.911;-256.95;-255.964;9:33:02;0.3013;;
1610;30.0011;29.6999;-256.77;-256.254;-256.684;-256.911;-256.942;-255.972;9:33:03;0.3012;;
1611;30.0011;29.6999;-256.762;-256.258;-256.684;-256.903;-256.942;-255.972;9:33:03;0.3012;;
1612;29.9933;29.7155;-256.77;-256.258;-256.684;-256.911;-256.95;-255.972;9:33:04;0.2778;;
1613;29.9933;29.7077;-256.77;-256.262;-256.684;-256.911;-256.95;-255.964;9:33:04;0.2856;;
1614;29.9933;29.6999;-256.77;-256.254;-256.684;-256.911;-256.942;-255.972;9:33:05;0.2934;;
1615;29.9855;29.7155;-256.762;-256.25;-256.692;-256.903;-256.95;-255.964;9:33:05;0.27;;
1616;30.0011;29.7233;-256.762;-256.262;-256.692;-256.911;-256.95;-255.972;9:33:06;0.2778;;
1617;30.009;29.7155;-256.77;-256.254;-256.692;-256.911;-256.942;-255.972;9:33:06;0.2935;;
1618;30.009;29.7155;-256.762;-256.254;-256.692;-256.911;-256.95;-255.972;9:33:07;0.2935;;
1619;30.009;29.7077;-256.762;-256.254;-256.692;-256.919;-256.942;-255.972;9:33:07;0.3013;;
1620;30.009;29.7155;-256.762;-256.262;-256.7;-256.911;-256.95;-255.964;9:33:08;0.2935;;
1621;30.0246;29.7155;-256.77;-256.254;-256.692;-256.911;-256.942;-255.972;9:33:08;0.3091;;
1622;30.0168;29.7155;-256.762;-256.25;-256.692;-256.919;-256.95;-255.972;9:33:09;0.3013;;
1623;30.0168;29.7155;-256.762;-256.254;-256.692;-256.911;-256.942;-255.964;9:33:09;0.3013;;
1624;30.0168;29.7233;-256.77;-256.254;-256.692;-256.911;-256.95;-255.972;9:33:10;0.2935;;
1625;30.0168;29.7233;-256.762;-256.25;-256.692;-256.919;-256.942;-255.98;9:33:10;0.2935;;
1626;30.0168;29.7312;-256.762;-256.254;-256.692;-256.903;-256.942;-255.972;9:33:11;0.2856;;
1627;30.0168;29.7233;-256.762;-256.254;-256.692;-256.911;-256.95;-255.972;9:33:11;0.2935;;
1628;30.0246;29.7312;-256.762;-256.254;-256.684;-256.919;-256.95;-255.98;9:33:12;0.2934;;
1629;30.0168;29.7312;-256.762;-256.25;-256.692;-256.911;-256.95;-255.972;9:33:12;0.2856;;
1630;30.0168;29.739;-256.762;-256.254;-256.692;-256.911;-256.942;-255.98;9:33:13;0.2778;;
1631;30.0285;29.739;-256.77;-256.25;-256.692;-256.911;-256.942;-255.972;9:33:13;0.2895;;
1632;30.0168;29.7312;-256.77;-256.254;-256.692;-256.911;-256.95;-255.972;9:33:14;0.2856;;
1633;30.0285;29.739;-256.77;-256.254;-256.692;-256.919;-256.95;-255.972;9:33:14;0.2895;;
