Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
3;28.127;28.0331;-256.751;-256.254;-256.684;-256.888;-256.95;-255.988;10:10:42
4;28.127;28.0331;-256.751;-256.254;-256.692;-256.888;-256.958;-255.996;10:10:42
5;28.127;28.0331;-256.755;-256.254;-256.684;-256.895;-256.958;-255.996;10:10:43
6;28.1192;28.0331;-256.751;-256.262;-256.692;-256.888;-256.95;-255.988;10:10:43
7;28.1192;28.0292;-256.755;-256.254;-256.684;-256.895;-256.95;-256.003;10:10:44
8;28.127;28.0331;-256.751;-256.254;-256.692;-256.895;-256.95;-255.996;10:10:44
9;28.1192;28.0331;-256.755;-256.254;-256.692;-256.888;-256.935;-256.003;10:10:45
10;28.1192;28.0331;-256.755;-256.254;-256.692;-256.888;-256.95;-255.996;10:10:45
11;28.127;28.0292;-256.755;-256.25;-256.684;-256.895;-256.942;-255.996;10:10:46
12;28.1114;28.0331;-256.755;-256.254;-256.684;-256.895;-256.942;-255.996;10:10:46
13;28.1114;28.0331;-256.755;-256.254;-256.692;-256.888;-256.942;-256.003;10:10:47
14;28.1114;28.0331;-256.751;-256.258;-256.692;-256.895;-256.942;-255.996;10:10:47
15;28.1114;28.0292;-256.755;-256.265;-256.684;-256.895;-256.942;-255.996;10:10:48
16;28.1114;28.0292;-256.755;-256.258;-256.692;-256.895;-256.95;-255.996;10:10:48
17;28.1114;28.0331;-256.755;-256.25;-256.692;-256.888;-256.942;-256.003;10:10:49
18;28.1114;28.0292;-256.755;-256.25;-256.684;-256.903;-256.942;-255.996;10:10:49
19;28.1036;28.0214;-256.751;-256.25;-256.7;-256.888;-256.942;-255.996;10:10:50
20;28.1114;28.0214;-256.755;-256.254;-256.692;-256.895;-256.942;-255.996;10:10:50
21;28.1036;28.0214;-256.755;-256.254;-256.692;-256.895;-256.942;-255.996;10:10:51
22;28.1114;28.0214;-256.755;-256.254;-256.684;-256.895;-256.935;-255.996;10:10:51
23;28.1114;28.0292;-256.751;-256.254;-256.692;-256.888;-256.942;-255.996;10:10:52
24;28.1036;28.0214;-256.751;-256.254;-256.692;-256.895;-256.935;-255.996;10:10:52
25;28.1036;28.0214;-256.755;-256.254;-256.7;-256.895;-256.95;-256.003;10:10:53
