Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time;;DT8;DT7
472;35.9364;34.1523;-256.762;-256.254;-256.692;-256.927;-256.966;-255.972;12:31:05;макс;36.1359;34.2227
473;35.9051;34.1366;-256.758;-256.25;-256.684;-256.927;-256.966;-255.98;12:31:05;мин;34.3401;33.0411
474;35.8738;34.121;-256.762;-256.25;-256.692;-256.919;-256.966;-255.972;12:31:06;дельта;1.7958;1.1816
475;35.8621;34.1053;-256.758;-256.246;-256.692;-256.911;-256.966;-255.98;12:31:06;;;
476;35.8386;34.0975;-256.762;-256.25;-256.692;-256.919;-256.974;-255.972;12:31:07;;;
477;35.8151;34.0975;-256.762;-256.254;-256.692;-256.911;-256.974;-255.972;12:31:07;;;
478;35.7916;34.0858;-256.758;-256.254;-256.7;-256.919;-256.974;-255.972;12:31:08;;;
479;35.7603;34.0623;-256.758;-256.254;-256.692;-256.919;-256.966;-255.98;12:31:08;;;
480;35.7369;34.0545;-256.758;-256.25;-256.708;-256.919;-256.981;-255.98;12:31:09;;;
481;35.7056;34.0232;-256.758;-256.254;-256.692;-256.919;-256.974;-255.972;12:31:09;;;
482;35.6743;33.9997;-256.758;-256.25;-256.692;-256.911;-256.974;-255.98;12:31:10;;;
483;35.6469;33.9762;-256.758;-256.254;-256.7;-256.911;-256.974;-255.972;12:31:10;;;
484;35.6351;33.9606;-256.758;-256.25;-256.7;-256.911;-256.974;-255.98;12:31:11;;;
485;35.6078;33.9293;-256.755;-256.25;-256.692;-256.911;-256.966;-255.972;12:31:11;;;
486;35.5765;33.9136;-256.758;-256.25;-256.7;-256.919;-256.981;-255.972;12:31:12;;;
487;35.5452;33.898;-256.755;-256.25;-256.692;-256.911;-256.981;-255.98;12:31:12;;;
488;35.506;33.8862;-256.758;-256.25;-256.692;-256.919;-256.974;-255.972;12:31:13;;;
489;35.4826;33.8706;-256.758;-256.25;-256.708;-256.919;-256.981;-255.972;12:31:13;;;
490;35.4552;33.8471;-256.758;-256.246;-256.692;-256.919;-256.966;-255.98;12:31:14;;;
491;35.4317;33.8236;-256.755;-256.25;-256.692;-256.919;-256.974;-255.98;12:31:14;;;
492;35.4082;33.808;-256.758;-256.25;-256.692;-256.919;-256.966;-255.972;12:31:15;;;
493;35.3769;33.7845;-256.755;-256.25;-256.7;-256.919;-256.974;-255.972;12:31:15;;;
494;35.3456;33.7689;-256.758;-256.25;-256.692;-256.927;-256.966;-255.98;12:31:16;;;
495;35.3221;33.7376;-256.762;-256.25;-256.7;-256.927;-256.958;-255.972;12:31:16;;;
496;35.2908;33.7219;-256.758;-256.254;-256.7;-256.919;-256.966;-255.98;12:31:17;;;
497;35.2595;33.6984;-256.758;-256.25;-256.7;-256.919;-256.958;-255.98;12:31:17;;;
498;35.2361;33.6789;-256.758;-256.25;-256.684;-256.911;-256.966;-255.972;12:31:18;;;
499;35.2165;33.6711;-256.758;-256.25;-256.7;-256.927;-256.974;-255.972;12:31:18;;;
500;35.193;33.6554;-256.762;-256.25;-256.692;-256.919;-256.966;-255.98;12:31:19;;;
501;35.1539;33.6319;-256.758;-256.25;-256.692;-256.927;-256.966;-255.972;12:31:19;;;
502;35.1226;33.6006;-256.758;-256.25;-256.692;-256.919;-256.966;-255.972;12:31:20;;;
503;35.0991;33.585;-256.755;-256.25;-256.692;-256.919;-256.974;-255.972;12:31:20;;;
504;35.06;33.5615;-256.751;-256.25;-256.692;-256.927;-256.981;-255.972;12:31:21;;;
505;35.0365;33.5459;-256.755;-256.25;-256.692;-256.919;-256.974;-255.98;12:31:21;;;
506;35.0091;33.5224;-256.751;-256.25;-256.692;-256.927;-256.974;-255.972;12:31:22;;;
507;34.9935;33.5067;-256.751;-256.246;-256.684;-256.919;-256.974;-255.972;12:31:22;;;
508;34.9622;33.495;-256.755;-256.25;-256.692;-256.927;-256.974;-255.98;12:31:23;;;
509;34.9309;33.4715;-256.758;-256.254;-256.692;-256.919;-256.981;-255.972;12:31:23;;;
510;34.9074;33.4559;-256.762;-256.25;-256.692;-256.919;-256.981;-255.98;12:31:24;;;
511;34.8683;33.4246;-256.758;-256.25;-256.7;-256.919;-256.974;-255.972;12:31:24;;;
512;34.8487;33.4089;-256.758;-256.246;-256.692;-256.927;-256.974;-255.98;12:31:25;;;
513;34.8292;33.3854;-256.755;-256.25;-256.692;-256.927;-256.981;-255.972;12:31:25;;;
514;34.794;33.3698;-256.758;-256.246;-256.684;-256.919;-256.974;-255.98;12:31:26;;;
515;34.7705;33.3385;-256.758;-256.25;-256.692;-256.919;-256.974;-255.972;12:31:26;;;
516;34.7314;33.3307;-256.758;-256.25;-256.684;-256.919;-256.974;-255.98;12:31:27;;;
517;34.7079;33.2994;-256.758;-256.25;-256.692;-256.911;-256.966;-255.972;12:31:27;;;
518;34.6688;33.2915;-256.758;-256.25;-256.684;-256.927;-256.966;-255.98;12:31:28;;;
519;34.6375;33.2759;-256.755;-256.246;-256.692;-256.911;-256.966;-255.972;12:31:28;;;
520;34.6218;33.2642;-256.758;-256.25;-256.692;-256.919;-256.966;-255.98;12:31:29;;;
521;34.614;33.2485;-256.755;-256.25;-256.684;-256.919;-256.966;-255.972;12:31:29;;;
522;34.6062;33.2407;-256.755;-256.25;-256.684;-256.919;-256.966;-255.98;12:31:30;;;
