Number;DT1;DT2;Time;С кулером;;;;;Без куллера;;;;;;;Delta;в среднем;Мин;Макс
649;34.8096;33.3307;16:17:28;;Макс;Мин;Дельта;;Макс;Мин;Дельта;;;;;1.4789;0.766166667;0.2073;1.8389
650;34.8096;33.3463;16:17:29;Дт8;36.0342;34.8096;1.2246;;36.4137;34.9778;1.4359;;;;;1.4633;;;
651;34.8174;33.3463;16:17:29;Дт7;34.2462;33.3307;0.9155;;35.7134;34.6218;1.0916;;;;;1.4711;;;
652;34.8213;33.362;16:17:30;;;;;;;;;;;;;1.4593;;;
653;34.8292;33.3698;16:17:30;;;Суммарная нестабильность;;;3.083;;;;;;;1.4594;;;
654;34.8331;33.362;16:17:31;;;;;;;;;;;;;1.4711;;;
655;34.8448;33.3776;16:17:31;;;;;;;;;;;;;1.4672;;;
656;34.8526;33.3776;16:17:32;;;;;;;;;;;;;1.475;;;
657;34.8605;33.4011;16:17:32;;;;;;;;;;;;;1.4594;;;
658;34.8683;33.4011;16:17:33;;;;;;;;;;;;;1.4672;;;
659;34.8839;33.4011;16:17:33;;;;;;;;;;;;;1.4828;;;
660;34.8996;33.4011;16:17:34;;;;;;;;;;;;;1.4985;;;
661;34.9152;33.4089;16:17:34;;;;;;;;;;;;;1.5063;;;
662;34.9231;33.4167;16:17:35;;;;;;;;;;;;;1.5064;;;
663;34.9387;33.4324;16:17:35;;;;;;;;;;;;;1.5063;;;
664;34.9544;33.4402;16:17:36;;;;;;;;;;;;;1.5142;;;
665;34.9544;33.448;16:17:36;;;;;;;;;;;;;1.5064;;;
666;34.97;33.4559;16:17:37;;;;;;;;;;;;;1.5141;;;
667;34.9778;33.4559;16:17:37;;;;;;;;;;;;;1.5219;;;
668;34.9935;33.4715;16:17:38;;;;;;;;;;;;;1.522;;;
669;35.0052;33.4793;16:17:38;;;;;;;;;;;;;1.5259;;;
670;35.0013;33.4911;16:17:39;;;;;;;;;;;;;1.5102;;;
671;35.0131;33.4911;16:17:39;;;;;;;;;;;;;1.522;;;
672;35.0365;33.4989;16:17:40;;;;;;;;;;;;;1.5376;;;
673;35.0365;33.5028;16:17:40;;;;;;;;;;;;;1.5337;;;
674;35.06;33.5067;16:17:41;;;;;;;;;;;;;1.5533;;;
675;35.0757;33.5146;16:17:41;;;;;;;;;;;;;1.5611;;;
676;35.0835;33.5302;16:17:42;;;;;;;;;;;;;1.5533;;;
677;35.0913;33.5302;16:17:42;;;;;;;;;;;;;1.5611;;;
678;35.1148;33.538;16:17:43;;;;;;;;;;;;;1.5768;;;
679;35.1226;33.5459;16:17:43;;;;;;;;;;;;;1.5767;;;
680;35.1383;33.5537;16:17:44;;;;;;;;;;;;;1.5846;;;
681;35.1539;33.5693;16:17:44;;;;;;;;;;;;;1.5846;;;
682;35.1617;33.5693;16:17:45;;;;;;;;;;;;;1.5924;;;
683;35.1852;33.585;16:17:45;;;;;;;;;;;;;1.6002;;;
684;35.2009;33.585;16:17:46;;;;;;;;;;;;;1.6159;;;
685;35.2126;33.6006;16:17:46;;;;;;;;;;;;;1.612;;;
686;35.2204;33.6085;16:17:47;;;;;;;;;;;;;1.6119;;;
687;35.2361;33.6163;16:17:47;;;;;;;;;;;;;1.6198;;;
688;35.2361;33.6241;16:17:48;;;;;;;;;;;;;1.612;;;
689;35.2595;33.6319;16:17:48;;;;;;;;;;;;;1.6276;;;
690;35.2674;33.6476;16:17:49;;;;;;;;;;;;;1.6198;;;
691;35.2752;33.6476;16:17:49;;;;;;;;;;;;;1.6276;;;
692;35.2908;33.6554;16:17:50;;;;;;;;;;;;;1.6354;;;
693;35.3143;33.6593;16:17:50;;;;;;;;;;;;;1.655;;;
