Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time;;С куллеромм;Макс;Мин;deLTA;Без куллера;Макс;Мин;deLTA
1;27.9588;27.9823;-256.743;-256.25;-256.676;-256.903;-256.95;-255.956;11:41:04;;ДТ8;36.0577;34.7627;1.295;;36.5037;34.97;1.5337
2;27.9627;27.9823;-256.735;-256.246;-256.676;-256.903;-256.958;-255.956;11:41:04;;ДТ7;34.7274;33.5693;1.1581;;35.6351;33.9136;1.7215
3;27.9588;27.9823;-256.743;-256.25;-256.684;-256.903;-256.95;-255.949;11:41:04;;;;;;;;;
4;27.9627;27.9744;-256.743;-256.25;-256.684;-256.903;-256.95;-255.956;11:41:04;;;Суммарная нестабильность;;;;;;
5;27.9588;27.9823;-256.743;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:05;;;;;;2.9344;;;
6;27.9588;27.9823;-256.743;-256.246;-256.684;-256.919;-256.958;-255.956;11:41:05;;;;;;;;;
7;27.9627;27.9744;-256.743;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:06;;;;;;;;;
8;27.9588;27.9823;-256.743;-256.25;-256.684;-256.903;-256.958;-255.956;11:41:06;;;;;;;;;
9;27.9588;27.9823;-256.751;-256.25;-256.684;-256.919;-256.95;-255.956;11:41:07;;;;;;;;;
10;27.9627;27.9666;-256.747;-256.25;-256.692;-256.911;-256.95;-255.949;11:41:07;;;;;;;;;
11;27.9588;27.9744;-256.747;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:08;;;;;;;;;
12;27.9627;27.9588;-256.743;-256.25;-256.684;-256.911;-256.95;-255.956;11:41:08;;;;;;;;;
13;27.9627;27.9588;-256.747;-256.25;-256.692;-256.919;-256.958;-255.949;11:41:09;;;;;;;;;
14;27.9588;27.9666;-256.751;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:09;;;;;;;;;
15;27.9627;27.9588;-256.747;-256.25;-256.692;-256.919;-256.95;-255.956;11:41:10;;;;;;;;;
16;27.9588;27.9666;-256.751;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:10;;;;;;;;;
17;27.9588;27.951;-256.751;-256.25;-256.692;-256.919;-256.95;-255.949;11:41:11;;;;;;;;;
18;27.9627;27.9588;-256.751;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:11;;;;;;;;;
19;27.9627;27.951;-256.747;-256.25;-256.676;-256.919;-256.942;-255.949;11:41:12;;;;;;;;;
20;27.9627;27.9588;-256.751;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:12;;;;;;;;;
21;27.9627;27.9588;-256.751;-256.25;-256.676;-256.911;-256.942;-255.949;11:41:13;;;;;;;;;
22;27.9627;27.9666;-256.747;-256.25;-256.692;-256.911;-256.95;-255.949;11:41:13;;;;;;;;;
23;27.9627;27.951;-256.751;-256.25;-256.684;-256.911;-256.942;-255.949;11:41:14;;;;;;;;;
24;27.9588;27.9588;-256.743;-256.254;-256.692;-256.911;-256.95;-255.949;11:41:14;;;;;;;;;
25;27.9627;27.9588;-256.747;-256.25;-256.692;-256.919;-256.942;-255.956;11:41:15;;;;;;;;;
26;27.9627;27.951;-256.743;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:15;;;;;;;;;
27;27.9588;27.9588;-256.747;-256.25;-256.684;-256.911;-256.95;-255.949;11:41:16;;;;;;;;;
28;27.9588;27.951;-256.747;-256.25;-256.684;-256.911;-256.942;-255.949;11:41:16;;;;;;;;;
29;27.9627;27.951;-256.743;-256.254;-256.676;-256.911;-256.958;-255.949;11:41:17;;;;;;;;;
30;27.9588;27.9431;-256.747;-256.25;-256.692;-256.911;-256.95;-255.949;11:41:17;;;;;;;;;
31;27.9588;27.951;-256.743;-256.254;-256.684;-256.911;-256.942;-255.949;11:41:18;;;;;;;;;
32;27.9627;27.951;-256.747;-256.254;-256.692;-256.919;-256.95;-255.941;11:41:18;;;;;;;;;
33;27.9627;27.951;-256.747;-256.254;-256.684;-256.911;-256.95;-255.949;11:41:19;;;;;;;;;
34;27.9666;27.951;-256.747;-256.254;-256.692;-256.911;-256.942;-255.949;11:41:19;;;;;;;;;
35;27.9627;27.9431;-256.751;-256.25;-256.692;-256.911;-256.942;-255.949;11:41:20;;;;;;;;;
36;27.9588;27.951;-256.747;-256.25;-256.684;-256.911;-256.95;-255.956;11:41:20;;;;;;;;;
37;27.9588;27.951;-256.747;-256.254;-256.7;-256.911;-256.942;-255.949;11:41:21;;;;;;;;;
38;27.9549;27.951;-256.743;-256.25;-256.684;-256.911;-256.942;-255.949;11:41:21;;;;;;;;;
39;27.9588;27.951;-256.743;-256.25;-256.692;-256.911;-256.958;-255.949;11:41:22;;;;;;;;;
40;27.9588;27.951;-256.747;-256.25;-256.684;-256.911;-256.942;-255.941;11:41:22;;;;;;;;;
41;27.9588;27.9431;-256.743;-256.25;-256.692;-256.911;-256.942;-255.949;11:41:23;;;;;;;;;
42;27.9588;27.951;-256.743;-256.254;-256.692;-256.911;-256.942;-255.949;11:41:23;;;;;;;;;
43;27.9627;27.9431;-256.743;-256.25;-256.684;-256.919;-256.935;-255.949;11:41:24;;;;;;;;;
44;27.9588;27.9353;-256.747;-256.25;-256.684;-256.903;-256.935;-255.949;11:41:24;;;;;;;;;
45;27.9549;27.9431;-256.747;-256.25;-256.684;-256.919;-256.95;-255.941;11:41:25;;;;;;;;;
46;27.9549;27.9353;-256.747;-256.246;-256.684;-256.911;-256.942;-255.949;11:41:25;;;;;;;;;
47;27.9549;27.9431;-256.751;-256.25;-256.684;-256.911;-256.935;-255.949;11:41:26;;;;;;;;;
48;27.951;27.9353;-256.743;-256.25;-256.684;-256.919;-256.942;-255.949;11:41:26;;;;;;;;;
49;27.9588;27.9353;-256.743;-256.25;-256.684;-256.911;-256.935;-255.949;11:41:27;;;;;;;;;
