Number;DT1;DT2;Time;;;С куллеромм;Макс;Мин;deLTA;Без куллера;Макс;Мин;deLTA
480;35.0013;33.8941;16:04:25;;;ДТ8;35.2126;34.8526;0.36;;35.2165;34.9778;0.2387
481;35.0052;33.898;16:04:26;;;ДТ7;34.5005;33.7845;0.716;;34.5279;34.344;0.1839
482;35.0209;33.9058;16:04:26;;;;;;;;;;
483;35.0287;33.9215;16:04:27;;;;Суммарная нестабильность;;;1.432;;;
484;35.0365;33.9293;16:04:27;;;;;;;;;;
485;35.0287;33.9136;16:04:28;;;;;;;;;;
486;35.0287;33.9136;16:04:28;;;;;;;;;;
487;35.0287;33.9058;16:04:29;;;;;;;;;;
488;35.0091;33.898;16:04:29;;;;;;;;;;
489;35.0052;33.8902;16:04:30;;;;;;;;;;
490;34.9974;33.8823;16:04:30;;;;;;;;;;
491;34.9935;33.8706;16:04:31;;;;;;;;;;
492;34.97;33.8549;16:04:31;;;;;;;;;;
493;34.9544;33.8393;16:04:32;;;;;;;;;;
494;34.9387;33.8236;16:04:32;;;;;;;;;;
495;34.9309;33.8236;16:04:33;;;;;;;;;;
496;34.9309;33.8236;16:04:33;;;;;;;;;;
497;34.9231;33.8236;16:04:34;;;;;;;;;;
498;34.9231;33.8236;16:04:34;;;;;;;;;;
499;34.9152;33.8158;16:04:35;;;;;;;;;;
500;34.9074;33.8236;16:04:35;;;;;;;;;;
501;34.9231;33.8393;16:04:36;;;;;;;;;;
502;34.9231;33.8315;16:04:36;;;;;;;;;;
503;34.9309;33.8471;16:04:37;;;;;;;;;;
504;34.9309;33.8471;16:04:37;;;;;;;;;;
505;34.9465;33.8549;16:04:38;;;;;;;;;;
506;34.9544;33.8549;16:04:38;;;;;;;;;;
507;34.9622;33.8706;16:04:39;;;;;;;;;;
508;34.97;33.8784;16:04:39;;;;;;;;;;
509;34.9778;33.8823;16:04:40;;;;;;;;;;
510;34.9935;33.8784;16:04:40;;;;;;;;;;
511;35.0013;33.8862;16:04:41;;;;;;;;;;
512;35.0052;33.8902;16:04:41;;;;;;;;;;
513;35.0131;33.8941;16:04:42;;;;;;;;;;
514;35.0209;33.8941;16:04:42;;;;;;;;;;
515;35.0287;33.9019;16:04:43;;;;;;;;;;
516;35.0209;33.898;16:04:43;;;;;;;;;;
517;35.0131;33.8941;16:04:44;;;;;;;;;;
518;35.0013;33.8941;16:04:44;;;;;;;;;;
519;35.0013;33.8862;16:04:45;;;;;;;;;;
520;34.9778;33.8823;16:04:45;;;;;;;;;;
521;34.97;33.8706;16:04:46;;;;;;;;;;
522;34.9465;33.8471;16:04:46;;;;;;;;;;
523;34.9231;33.8315;16:04:47;;;;;;;;;;
524;34.9074;33.8315;16:04:47;;;;;;;;;;
525;34.8918;33.8158;16:04:48;;;;;;;;;;
526;34.8918;33.808;16:04:48;;;;;;;;;;
