Number;DT1;DT2;Time;;;;С куллеромм;Макс;Мин;deLTA;Без куллера;Макс;Мин;deLTA
2;35.0287;33.6632;11:38:54;;;;ДТ8;35.0678;34.837;0.2308;;35.2204;34.9622;0.2582
3;35.0365;33.6671;11:38:54;;;;ДТ7;33.7063;33.5302;0.1761;;34.704;34.3988;0.3052
4;35.0522;33.6711;11:38:54;;;;;;;;;;;
5;35.0522;33.675;11:38:55;;;;;Суммарная нестабильность;;;1.6902;;;
6;35.06;33.6867;11:38:55;;;;;;;;;;;
7;35.0678;33.6828;11:38:56;;;;;;;;;;;
8;35.06;33.6984;11:38:56;;;;;;;;;;;
9;35.0678;33.6906;11:38:57;;;;;;;;;;;
10;35.06;33.6984;11:38:57;;;;;;;;;;;
11;35.06;33.6906;11:38:58;;;;;;;;;;;
12;35.0365;33.6867;11:38:58;;;;;;;;;;;
13;35.0209;33.6789;11:38:59;;;;;;;;;;;
14;35.0131;33.675;11:38:59;;;;;;;;;;;
15;34.9974;33.6554;11:39:00;;;;;;;;;;;
16;34.9857;33.6476;11:39:00;;;;;;;;;;;
17;34.9544;33.6241;11:39:01;;;;;;;;;;;
18;34.9387;33.6006;11:39:01;;;;;;;;;;;
19;34.9152;33.5772;11:39:02;;;;;;;;;;;
20;34.8996;33.5693;11:39:02;;;;;;;;;;;
21;34.8683;33.5615;11:39:03;;;;;;;;;;;
22;34.8683;33.5459;11:39:03;;;;;;;;;;;
23;34.8526;33.5459;11:39:04;;;;;;;;;;;
24;34.8448;33.5459;11:39:04;;;;;;;;;;;
25;34.8448;33.5459;11:39:05;;;;;;;;;;;
26;34.837;33.538;11:39:05;;;;;;;;;;;
27;34.8448;33.5459;11:39:06;;;;;;;;;;;
28;34.8448;33.5459;11:39:06;;;;;;;;;;;
29;34.8448;33.538;11:39:07;;;;;;;;;;;
30;34.8448;33.5459;11:39:07;;;;;;;;;;;
31;34.8526;33.538;11:39:08;;;;;;;;;;;
32;34.8605;33.5537;11:39:08;;;;;;;;;;;
33;34.8761;33.5615;11:39:09;;;;;;;;;;;
34;34.8761;33.5537;11:39:09;;;;;;;;;;;
35;34.8918;33.5615;11:39:10;;;;;;;;;;;
36;34.9074;33.5693;11:39:10;;;;;;;;;;;
37;34.9074;33.5615;11:39:11;;;;;;;;;;;
38;34.9152;33.5693;11:39:11;;;;;;;;;;;
39;34.9309;33.5772;11:39:12;;;;;;;;;;;
40;34.9309;33.585;11:39:12;;;;;;;;;;;
41;34.9387;33.5928;11:39:13;;;;;;;;;;;
42;34.9544;33.6006;11:39:13;;;;;;;;;;;
43;34.9622;33.6085;11:39:14;;;;;;;;;;;
44;34.9622;33.6241;11:39:14;;;;;;;;;;;
45;34.9778;33.6241;11:39:15;;;;;;;;;;;
46;34.9857;33.6241;11:39:15;;;;;;;;;;;
47;35.0013;33.6476;11:39:16;;;;;;;;;;;
48;35.0052;33.6554;11:39:16;;;;;;;;;;;
49;35.0091;33.6554;11:39:17;;;;;;;;;;;
50;35.0131;33.6671;11:39:17;;;;;;;;;;;
51;35.0209;33.6671;11:39:18;;;;;;;;;;;
52;35.0131;33.6632;11:39:18;;;;;;;;;;;
53;35.0131;33.6632;11:39:19;;;;;;;;;;;
54;35.0013;33.6554;11:39:19;;;;;;;;;;;
55;34.9974;33.6476;11:39:20;;;;;;;;;;;
56;34.9778;33.6319;11:39:20;;;;;;;;;;;
57;34.9622;33.6241;11:39:21;;;;;;;;;;;
58;34.9465;33.6006;11:39:21;;;;;;;;;;;
59;34.9309;33.6006;11:39:22;;;;;;;;;;;
60;34.9152;33.585;11:39:22;;;;;;;;;;;
61;34.9152;33.585;11:39:23;;;;;;;;;;;
62;34.9074;33.5772;11:39:23;;;;;;;;;;;
63;34.9152;33.5928;11:39:24;;;;;;;;;;;
64;34.9074;33.585;11:39:24;;;;;;;;;;;
65;34.8996;33.6006;11:39:25;;;;;;;;;;;
66;34.9074;33.5928;11:39:25;;;;;;;;;;;
67;34.9152;33.6085;11:39:26;;;;;;;;;;;
68;34.9152;33.6006;11:39:26;;;;;;;;;;;
69;34.9231;33.6163;11:39:27;;;;;;;;;;;
70;34.9231;33.6163;11:39:27;;;;;;;;;;;
71;34.9309;33.6241;11:39:28;;;;;;;;;;;
72;34.9309;33.6319;11:39:28;;;;;;;;;;;
73;34.9387;33.6398;11:39:29;;;;;;;;;;;
74;34.9465;33.6398;11:39:29;;;;;;;;;;;
75;34.9544;33.6554;11:39:30;;;;;;;;;;;
76;34.9544;33.6593;11:39:30;;;;;;;;;;;
77;34.9622;33.6711;11:39:31;;;;;;;;;;;
78;34.97;33.675;11:39:31;;;;;;;;;;;
79;34.9935;33.6789;11:39:32;;;;;;;;;;;
80;34.9974;33.6828;11:39:32;;;;;;;;;;;
