Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P now;T imp;K_prop;Time
3;23.2325;23.2129;-256.755;-256.242;-256.7;-256.919;-256.966;-255.972;0;None;1000;11:48:23
4;23.2325;23.2207;-256.755;-256.242;-256.7;-256.919;-256.966;-255.964;0;None;1000;11:48:23
5;23.2325;23.2207;-256.755;-256.242;-256.692;-256.919;-256.966;-255.972;0;None;1000;11:48:24
6;23.2403;23.2207;-256.755;-256.242;-256.7;-256.927;-256.958;-255.964;0;None;1000;11:48:24
7;23.2325;23.2207;-256.755;-256.238;-256.7;-256.919;-256.974;-255.972;0;None;1000;11:48:25
8;23.2325;23.2207;-256.755;-256.242;-256.7;-256.927;-256.981;-255.972;0;None;1000;11:48:25
9;23.2325;23.2207;-256.755;-256.242;-256.7;-256.919;-256.966;-255.964;0;None;1000;11:48:26
10;23.2325;23.2286;-256.755;-256.238;-256.692;-256.919;-256.974;-255.972;0;None;1000;11:48:26
11;23.2325;23.2286;-256.755;-256.242;-256.7;-256.927;-256.966;-255.964;0;None;1000;11:48:27
12;23.2325;23.2286;-256.755;-256.242;-256.692;-256.919;-256.966;-255.964;0;None;1000;11:48:27
13;23.2325;23.2286;-256.751;-256.242;-256.7;-256.927;-256.966;-255.972;0;None;1000;11:48:28
14;23.2403;23.2286;-256.751;-256.242;-256.692;-256.927;-256.966;-255.964;0;None;1000;11:48:28
15;23.2325;23.2207;-256.747;-256.242;-256.7;-256.927;-256.974;-255.964;0;None;1000;11:48:29
16;23.2403;23.2286;-256.743;-256.242;-256.7;-256.919;-256.974;-255.964;0;None;1000;11:48:29
17;23.2325;23.2286;-256.747;-256.242;-256.7;-256.927;-256.958;-255.972;0;None;1000;11:48:30
18;23.2325;23.2207;-256.747;-256.242;-256.692;-256.919;-256.966;-255.964;0;None;1000;11:48:30
19;23.2325;23.2286;-256.743;-256.242;-256.708;-256.927;-256.966;-255.972;0;None;1000;11:48:31
20;23.2247;23.2207;-256.743;-256.238;-256.7;-256.927;-256.966;-255.964;0;None;1000;11:48:31
21;23.2325;23.2207;-256.747;-256.242;-256.7;-256.927;-256.958;-255.972;0;None;1000;11:48:32
22;23.2325;23.2286;-256.735;-256.242;-256.7;-256.927;-256.966;-255.972;0;None;1000;11:48:32
23;23.2403;23.2207;-256.747;-256.246;-256.692;-256.927;-256.958;-255.98;0;None;1000;11:48:33
24;23.2403;23.2207;-256.743;-256.242;-256.7;-256.927;-256.958;-255.972;0;None;1000;11:48:33
25;23.2325;23.2286;-256.747;-256.242;-256.7;-256.927;-256.958;-255.972;0;None;1000;11:48:34
26;23.2325;23.2286;-256.747;-256.246;-256.7;-256.919;-256.958;-255.972;0;None;1000;11:48:34
27;23.2325;23.2207;-256.743;-256.246;-256.7;-256.927;-256.966;-255.972;0;None;1000;11:48:35
28;23.2403;23.2207;-256.747;-256.242;-256.7;-256.927;-256.958;-255.98;0;None;1000;11:48:35
29;23.2403;23.2286;-256.743;-256.242;-256.7;-256.927;-256.958;-255.972;0;None;1000;11:48:36
30;23.2403;23.2364;-256.743;-256.246;-256.708;-256.927;-256.958;-255.972;0;None;1000;11:48:36
31;23.2403;23.2286;-256.743;-256.242;-256.692;-256.927;-256.966;-255.964;0;None;1000;11:48:37
32;23.2403;23.2364;-256.743;-256.242;-256.7;-256.927;-256.958;-255.964;0;None;1000;11:48:37
33;23.2403;23.2207;-256.747;-256.246;-256.7;-256.927;-256.958;-255.972;0;None;1000;11:48:38
34;23.2403;23.2286;-256.743;-256.242;-256.7;-256.927;-256.958;-255.964;0;None;1000;11:48:38
35;23.2403;23.2207;-256.743;-256.242;-256.7;-256.927;-256.958;-255.964;0;None;1000;11:48:39
36;23.2403;23.2286;-256.743;-256.242;-256.7;-256.927;-256.958;-255.972;0;None;1000;11:48:39
37;23.2403;23.2207;-256.735;-256.242;-256.7;-256.927;-256.966;-255.964;0;None;1000;11:48:40
38;23.2403;23.2207;-256.743;-256.242;-256.7;-256.935;-256.974;-255.964;0;None;1000;11:48:40
39;23.2403;23.2286;-256.743;-256.238;-256.692;-256.935;-256.966;-255.964;0;None;1000;11:48:41
40;23.2403;23.2129;-256.743;-256.242;-256.7;-256.935;-256.974;-255.972;0;None;1000;11:48:41
41;23.2403;23.2286;-256.747;-256.242;-256.7;-256.935;-256.966;-255.964;37.599;None;37.6;11:49:42
42;23.2481;23.2207;-256.743;-256.242;-256.692;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
43;23.2403;23.2207;-256.743;-256.238;-256.692;-256.927;-256.966;-255.964;37.599;None;37.6;11:49:42
44;23.2325;23.2286;-256.743;-256.242;-256.692;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
45;23.2325;23.2286;-256.743;-256.242;-256.7;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
46;23.2403;23.2207;-256.743;-256.238;-256.692;-256.935;-256.966;-255.964;37.599;None;37.6;11:49:42
47;23.2403;23.2207;-256.743;-256.242;-256.7;-256.935;-256.958;-255.972;37.599;None;37.6;11:49:42
48;23.2325;23.2207;-256.743;-256.242;-256.7;-256.927;-256.966;-255.964;37.599;None;37.6;11:49:42
49;23.2403;23.2207;-256.743;-256.238;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
50;23.2403;23.2286;-256.735;-256.242;-256.7;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
51;23.2403;23.2207;-256.743;-256.246;-256.7;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
52;23.2403;23.2207;-256.743;-256.242;-256.7;-256.935;-256.958;-255.964;37.599;None;37.6;11:49:42
53;23.2403;23.2207;-256.743;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
54;23.2403;23.2207;-256.751;-256.238;-256.692;-256.927;-256.974;-255.972;37.599;None;37.6;11:49:42
55;23.2403;23.2207;-256.751;-256.242;-256.692;-256.935;-256.958;-255.964;37.599;None;37.6;11:49:42
56;23.2481;23.2207;-256.747;-256.242;-256.7;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
57;23.2403;23.2207;-256.751;-256.238;-256.7;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
58;23.2481;23.2286;-256.751;-256.242;-256.7;-256.935;-256.966;-255.964;37.599;None;37.6;11:49:42
59;23.2481;23.2207;-256.751;-256.238;-256.692;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
60;23.2403;23.2286;-256.751;-256.242;-256.7;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
61;23.2481;23.2129;-256.755;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
62;23.2481;23.2286;-256.755;-256.242;-256.7;-256.927;-256.974;-255.972;37.599;None;37.6;11:49:42
63;23.2481;23.2129;-256.755;-256.242;-256.692;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
64;23.2481;23.2207;-256.751;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
65;23.2481;23.2207;-256.751;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
66;23.2403;23.2207;-256.751;-256.242;-256.7;-256.927;-256.974;-255.972;37.599;None;37.6;11:49:42
67;23.2481;23.2129;-256.755;-256.242;-256.692;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
68;23.2481;23.2207;-256.755;-256.242;-256.692;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
69;23.2403;23.2207;-256.751;-256.238;-256.692;-256.927;-256.966;-255.964;37.599;None;37.6;11:49:42
70;23.2403;23.2207;-256.755;-256.242;-256.692;-256.927;-256.966;-255.956;37.599;None;37.6;11:49:42
71;23.2481;23.2207;-256.755;-256.242;-256.692;-256.935;-256.958;-255.972;37.599;None;37.6;11:49:42
72;23.2481;23.2207;-256.751;-256.242;-256.692;-256.927;-256.958;-255.964;37.599;None;37.6;11:49:42
73;23.256;23.2286;-256.755;-256.238;-256.7;-256.927;-256.958;-255.972;37.599;None;37.6;11:49:42
74;23.2481;23.2207;-256.755;-256.242;-256.7;-256.927;-256.966;-255.98;37.599;None;37.6;11:49:42
75;23.2481;23.2129;-256.751;-256.238;-256.692;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
76;23.2481;23.2207;-256.755;-256.242;-256.692;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
77;23.2481;23.2207;-256.758;-256.242;-256.692;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
78;23.2403;23.2207;-256.755;-256.242;-256.692;-256.935;-256.958;-255.972;37.599;None;37.6;11:49:42
79;23.2481;23.2207;-256.751;-256.238;-256.692;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
80;23.2481;23.2129;-256.755;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
81;23.2481;23.2286;-256.755;-256.246;-256.7;-256.927;-256.974;-255.972;37.599;None;37.6;11:49:42
82;23.2481;23.2207;-256.755;-256.246;-256.7;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
83;23.2481;23.2286;-256.755;-256.242;-256.692;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
84;23.2481;23.2207;-256.751;-256.242;-256.7;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
85;23.2481;23.2129;-256.755;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
86;23.256;23.2207;-256.755;-256.242;-256.684;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
87;23.2481;23.2286;-256.755;-256.246;-256.7;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
88;23.2403;23.2207;-256.755;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
89;23.2481;23.2286;-256.751;-256.242;-256.692;-256.927;-256.974;-255.964;37.599;None;37.6;11:49:42
90;23.2481;23.2286;-256.755;-256.246;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
91;23.2481;23.2286;-256.755;-256.242;-256.692;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
92;23.2481;23.2286;-256.751;-256.246;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
93;23.2481;23.2286;-256.751;-256.246;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
94;23.2481;23.2286;-256.751;-256.246;-256.692;-256.927;-256.966;-255.98;37.599;None;37.6;11:49:42
95;23.256;23.2286;-256.751;-256.242;-256.7;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
96;23.256;23.2286;-256.755;-256.242;-256.684;-256.927;-256.966;-255.964;37.599;None;37.6;11:49:42
97;23.256;23.2286;-256.751;-256.246;-256.684;-256.935;-256.958;-255.972;37.599;None;37.6;11:49:42
98;23.2481;23.2207;-256.755;-256.246;-256.7;-256.927;-256.974;-255.964;37.599;None;37.6;11:49:42
99;23.2481;23.2286;-256.751;-256.242;-256.684;-256.935;-256.966;-255.964;37.599;None;37.6;11:49:42
100;23.2481;23.2286;-256.751;-256.246;-256.692;-256.935;-256.958;-255.972;37.599;None;37.6;11:49:42
101;23.2481;23.2364;-256.755;-256.246;-256.692;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
102;23.2481;23.2286;-256.751;-256.246;-256.684;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
103;23.2403;23.2286;-256.755;-256.242;-256.7;-256.935;-256.966;-255.964;37.599;None;37.6;11:49:42
104;23.2481;23.2364;-256.751;-256.246;-256.692;-256.935;-256.974;-255.964;37.599;None;37.6;11:49:42
105;23.2481;23.2286;-256.755;-256.242;-256.692;-256.927;-256.958;-255.972;37.599;None;37.6;11:49:42
106;23.2481;23.2364;-256.747;-256.246;-256.7;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
107;23.256;23.2286;-256.751;-256.238;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
108;23.2481;23.2207;-256.747;-256.246;-256.7;-256.935;-256.966;-255.964;37.599;None;37.6;11:49:42
109;23.2481;23.2286;-256.751;-256.242;-256.7;-256.935;-256.974;-255.972;37.599;None;37.6;11:49:42
110;23.256;23.2286;-256.747;-256.242;-256.684;-256.927;-256.966;-255.964;37.599;None;37.6;11:49:42
111;23.256;23.2286;-256.751;-256.242;-256.7;-256.935;-256.966;-255.964;37.599;None;37.6;11:49:42
112;23.2481;23.2364;-256.751;-256.242;-256.692;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
113;23.256;23.2364;-256.751;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
114;23.2481;23.2286;-256.751;-256.242;-256.692;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
115;23.256;23.2286;-256.751;-256.242;-256.692;-256.935;-256.966;-255.964;37.599;None;37.6;11:49:42
116;23.2481;23.2364;-256.751;-256.246;-256.692;-256.927;-256.974;-255.972;37.599;None;37.6;11:49:42
117;23.2481;23.2286;-256.747;-256.246;-256.7;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
118;23.2481;23.2364;-256.751;-256.242;-256.7;-256.927;-256.974;-255.972;37.599;None;37.6;11:49:42
119;23.2481;23.2286;-256.747;-256.246;-256.692;-256.927;-256.974;-255.98;37.599;None;37.6;11:49:42
120;23.2481;23.2286;-256.751;-256.242;-256.692;-256.927;-256.974;-255.972;37.599;None;37.6;11:49:42
121;23.256;23.2286;-256.751;-256.246;-256.7;-256.927;-256.974;-255.964;37.599;None;37.6;11:49:42
122;23.2481;23.2286;-256.747;-256.242;-256.7;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
123;23.2481;23.2286;-256.751;-256.25;-256.7;-256.927;-256.974;-255.972;37.599;None;37.6;11:49:42
124;23.2481;23.2364;-256.747;-256.242;-256.708;-256.927;-256.966;-255.972;37.599;None;37.6;11:49:42
125;23.2481;23.2286;-256.751;-256.246;-256.692;-256.927;-256.974;-255.98;37.599;None;37.6;11:49:42
126;23.2403;23.2364;-256.755;-256.242;-256.692;-256.935;-256.966;-255.972;37.599;None;37.6;11:49:42
