Number;DT1;DT2;P_now;T_imp;K_prop;T_stab;Time
9;29.9464;29.7703;0;None;1000;None;12:23:05
10;29.9464;29.7625;0;None;1000;None;12:23:05
11;29.9464;29.7625;0;None;1000;None;12:23:05
12;29.9464;29.7703;0;None;1000;None;12:23:06
13;29.9542;29.7625;0;None;1000;None;12:23:06
14;29.9464;29.7703;0;None;1000;None;12:23:07
15;29.9542;29.7625;0;None;1000;None;12:23:07
16;29.9542;29.7703;0;None;1000;None;12:23:08
17;29.9542;29.7625;0;None;1000;None;12:23:08
18;29.962;29.7703;0;None;1000;None;12:23:09
19;29.962;29.7625;0;None;1000;None;12:23:09
20;29.962;29.7703;0;None;1000;None;12:23:10
21;29.9542;29.7703;0;None;1000;None;12:23:10
22;29.962;29.7781;0;None;1000;None;12:23:11
23;29.962;29.7703;0;None;1000;None;12:23:11
24;29.9542;29.7703;0;None;1000;None;12:23:12
25;29.962;29.7781;0;None;1000;None;12:23:12
26;29.9542;29.7703;0;None;1000;None;12:23:13
27;29.962;29.7703;0;None;1000;None;12:23:13
28;29.9542;29.7703;0;None;1000;None;12:23:14
29;29.962;29.7703;0;None;1000;None;12:23:14
30;29.962;29.7703;0;None;1000;None;12:23:15
31;29.962;29.7703;0;None;1000;None;12:23:15
32;29.962;29.7703;0;None;1000;None;12:23:16
33;29.962;29.7703;0;None;1000;None;12:23:16
34;29.9542;29.7703;0;None;1000;None;12:23:17
35;29.962;29.7703;0;None;1000;None;12:23:17
36;29.9542;29.7703;0;None;1000;None;12:23:18
37;29.9542;29.7703;0;None;1000;None;12:23:18
38;29.9542;29.7625;0;None;1000;None;12:23:19
39;29.9464;29.7781;0;None;1000;None;12:23:19
40;29.9542;29.7625;0;None;1000;None;12:23:20
41;29.9464;29.7703;0;None;1000;None;12:23:20
42;29.9542;29.7546;0;None;1000;None;12:23:21
43;29.9542;29.7625;0;None;1000;None;12:23:21
44;29.9464;29.7625;0;None;1000;None;12:23:22
45;29.9464;29.7546;0;None;1000;None;12:23:22
46;29.9464;29.7546;0;None;1000;None;12:23:23
47;29.9385;29.7625;0;None;1000;None;12:23:23
48;29.9385;29.7468;0;None;1000;None;12:23:24
49;29.9385;29.7468;0;None;1000;None;12:23:24
50;29.9307;29.7468;0;None;1000;None;12:23:25
51;29.9385;29.7546;0;None;1000;None;12:23:25
52;29.9229;29.739;0;None;1000;None;12:23:26
53;29.9229;29.739;0;None;1000;None;12:23:26
54;29.9151;29.7233;0;None;1000;None;12:23:27
55;29.9072;29.7233;0;None;1000;None;12:23:27
56;29.9072;29.7233;0;None;1000;None;12:23:28
57;29.9072;29.7155;0;None;1000;None;12:23:28
58;29.8994;29.7155;0;None;1000;None;12:23:29
59;29.8994;29.7233;0;None;1000;None;12:23:29
60;29.8916;29.7155;0;None;1000;None;12:23:30
61;29.8916;29.7155;0;None;1000;None;12:23:30
62;29.8838;29.7077;0;None;1000;None;12:23:31
63;29.8759;29.7077;0;None;1000;None;12:23:31
64;29.8759;29.6999;0;None;1000;None;12:23:32
65;29.8759;29.6999;0;None;1000;None;12:23:32
66;29.8681;29.6999;0;None;1000;None;12:23:33
67;29.872;29.692;0;None;1000;None;12:23:33
68;29.8642;29.6999;0;None;1000;None;12:23:34
69;29.8642;29.6842;0;None;1000;None;12:23:34
70;29.8603;29.6842;0;None;1000;None;12:23:35
71;29.8603;29.6842;0;None;1000;None;12:23:35
72;29.8603;29.6764;0;None;1000;None;12:23:36
73;29.8485;29.6607;0;None;1000;None;12:23:36
74;29.8525;29.6686;0;None;1000;None;12:23:37
75;29.8485;29.6529;0;None;1000;None;12:23:37
76;29.8407;29.6607;0;None;1000;None;12:23:38
77;29.8407;29.6529;0;None;1000;None;12:23:38
78;29.8407;29.6529;0;None;1000;None;12:23:39
79;29.8407;29.6529;0;None;1000;None;12:23:39
80;29.8329;29.649;0;None;1000;None;12:23:40
81;29.8251;29.6451;0;None;1000;None;12:23:40
82;29.8251;29.649;0;None;1000;None;12:23:41
83;29.8172;29.6451;0;None;1000;None;12:23:41
84;29.8094;29.6412;0;None;1000;None;12:23:42
85;29.8016;29.6373;0;None;1000;None;12:23:42
86;29.8016;29.6412;0;None;1000;None;12:23:43
87;29.8016;29.6373;0;None;1000;None;12:23:43
88;29.7938;29.6334;0;None;1000;None;12:23:44
89;29.7938;29.6255;0;None;1000;None;12:23:44
90;29.7859;29.6334;0;None;1000;None;12:23:45
91;29.7781;29.6255;0;None;1000;None;12:23:45
92;29.7859;29.6177;0;None;1000;None;12:23:46
93;29.7781;29.6255;0;None;1000;None;12:23:46
94;29.7703;29.6177;0;None;1000;None;12:23:47
95;29.7625;29.6099;0;None;1000;None;12:23:47
96;29.7546;29.6099;0;None;1000;None;12:23:48
97;29.7546;29.6099;0;None;1000;None;12:23:48
98;29.7468;29.6099;0;None;1000;None;12:23:49
99;29.739;29.5942;0;None;1000;None;12:23:49
100;29.7312;29.5942;0;None;1000;None;12:23:50
101;29.7312;29.5942;0;None;1000;None;12:23:50
102;29.7155;29.5864;0;None;1000;None;12:23:51
103;29.7233;29.5864;0;None;1000;None;12:23:51
104;29.7155;29.5786;0;None;1000;None;12:23:52
105;29.7077;29.5786;0;None;1000;None;12:23:52
106;29.7077;29.5786;0;None;1000;None;12:23:53
107;29.6999;29.5629;0;None;1000;None;12:23:53
108;29.692;29.5708;0;None;1000;None;12:23:54
109;29.692;29.5629;0;None;1000;None;12:23:54
110;29.6842;29.5551;0;None;1000;None;12:23:55
111;29.6842;29.5629;0;None;1000;None;12:23:55
112;29.6764;29.5551;0;None;1000;None;12:23:56
113;29.6764;29.5473;0;None;1000;None;12:23:56
114;29.6686;29.5473;0;None;1000;None;12:23:57
115;29.6686;29.5316;0;None;1000;None;12:23:57
116;29.6607;29.5316;0;None;1000;None;12:23:58
117;29.6607;29.5395;0;None;1000;None;12:23:58
118;29.6686;29.5395;0;None;1000;None;12:23:59
119;29.6529;29.5316;0;None;1000;None;12:23:59
120;29.6607;29.516;0;None;1000;None;12:24:00
121;29.6529;29.5238;0;None;1000;None;12:24:00
122;29.649;29.516;0;None;1000;None;12:24:01
123;29.6451;29.516;37.599;None;37.35;30;12:24:01
124;29.6451;29.516;37.599;141;37.35;30;12:24:02
125;29.6451;29.5003;37.599;141;37.35;30;12:24:02
126;29.6373;29.4925;37.599;141;37.35;30;12:24:03
127;29.6373;29.4925;37.599;144;37.35;30;12:24:03
128;29.6412;29.5082;37.599;144;37.35;30;12:24:04
129;29.6451;29.516;37.599;142;37.35;30;12:24:04
130;29.649;29.516;37.599;141;37.35;30;12:24:05
131;29.6529;29.5316;37.599;139;37.35;30;12:24:05
132;29.6607;29.5238;37.599;137;37.35;30;12:24:06
133;29.6686;29.5395;37.599;134;37.35;30;12:24:06
134;29.692;29.5473;37.599;131;37.35;30;12:24:07
135;29.6999;29.5551;37.599;122;37.35;30;12:24:07
136;29.7077;29.5708;37.599;119;37.35;30;12:24:08
137;29.7312;29.5786;37.599;116;37.35;30;12:24:08
138;29.739;29.5864;37.599;106;37.35;30;12:24:09
139;29.7546;29.5942;37.599;103;37.35;30;12:24:09
140;29.7703;29.6021;37.599;97;37.35;30;12:24:10
141;29.7703;29.6177;37.599;91;37.35;30;12:24:10
142;29.7859;29.6255;37.599;91;37.35;30;12:24:11
143;29.8016;29.6334;37.599;85;37.35;30;12:24:11
144;29.8251;29.6334;37.599;78;37.35;30;12:24:12
145;29.8329;29.6412;37.599;69;37.35;30;12:24:12
146;29.8329;29.6451;37.599;66;37.35;30;12:24:13
147;29.8525;29.649;37.599;66;37.35;30;12:24:13
148;29.8603;29.6529;37.599;58;37.35;30;12:24:14
149;29.8642;29.6607;37.599;55;37.35;30;12:24:14
150;29.872;29.6686;37.599;53;37.35;30;12:24:15
151;29.8759;29.6764;37.599;50;37.35;30;12:24:15
152;29.8994;29.6842;37.599;49;37.35;30;12:24:16
153;29.8994;29.692;37.599;39;37.35;30;12:24:16
154;29.9151;29.692;37.599;39;37.35;30;12:24:17
155;29.9229;29.7077;37.599;33;37.35;30;12:24:17
156;29.9307;29.7077;37.599;30;37.35;30;12:24:18
157;29.9385;29.7155;37.599;27;37.35;30;12:24:18
158;29.9542;29.7233;37.599;24;37.35;30;12:24:19
159;29.9542;29.7155;37.599;18;37.35;30;12:24:19
160;29.9542;29.7155;37.599;18;37.35;30;12:24:20
161;29.962;29.7312;37.599;18;37.35;30;12:24:20
162;29.962;29.7233;37.599;15;37.35;30;12:24:21
163;29.9777;29.7233;37.599;15;37.35;30;12:24:21
164;29.9777;29.7312;37.599;8;37.35;30;12:24:22
165;29.9855;29.7312;37.599;8;37.35;30;12:24:22
166;29.9855;29.7312;37.599;5;37.35;30;12:24:23
167;29.9855;29.739;37.599;5;37.35;30;12:24:23
168;29.9933;29.739;37.599;5;37.35;30;12:24:24
169;29.9855;29.739;37.599;2;37.35;30;12:24:24
170;29.9855;29.7312;37.599;5;37.35;30;12:24:25
171;29.9777;29.739;37.599;5;37.35;30;12:24:25
172;29.9855;29.739;37.599;8;37.35;30;12:24:26
173;29.9855;29.739;37.599;5;37.35;30;12:24:26
174;29.9777;29.7312;37.599;5;37.35;30;12:24:27
175;29.9777;29.7312;37.599;8;37.35;30;12:24:27
176;29.9777;29.739;37.599;8;37.35;30;12:24:28
177;29.9698;29.739;37.599;8;37.35;30;12:24:28
178;29.9698;29.739;37.599;11;37.35;30;12:24:29
179;29.9777;29.739;37.599;11;37.35;30;12:24:29
180;29.9698;29.739;37.599;8;37.35;30;12:24:30
181;29.9698;29.7312;37.599;11;37.35;30;12:24:30
182;29.962;29.7233;37.599;11;37.35;30;12:24:31
183;29.962;29.7312;37.599;15;37.35;30;12:24:31
184;29.962;29.7155;37.599;15;37.35;30;12:24:32
185;29.962;29.7155;37.599;15;37.35;30;12:24:32
186;29.9542;29.7155;37.599;15;37.35;30;12:24:33
187;29.9542;29.7155;37.599;18;37.35;30;12:24:33
188;29.9464;29.7155;37.599;18;37.35;30;12:24:34
189;29.9464;29.7077;37.599;21;37.35;30;12:24:34
190;29.9464;29.7155;37.599;21;37.35;30;12:24:35
191;29.9464;29.7077;37.599;21;37.35;30;12:24:35
192;29.9464;29.7155;37.599;21;37.35;30;12:24:36
193;29.9385;29.7155;37.599;21;37.35;30;12:24:36
194;29.9464;29.7077;37.599;24;37.35;30;12:24:37
195;29.9385;29.7077;37.599;21;37.35;30;12:24:37
196;29.9385;29.6999;37.599;24;37.35;30;12:24:38
197;29.9385;29.7077;37.599;24;37.35;30;12:24:38
198;29.9385;29.6999;37.599;24;37.35;30;12:24:39
199;29.9385;29.6999;37.599;24;37.35;30;12:24:39
200;29.9307;29.692;37.599;24;37.35;30;12:24:40
201;29.9229;29.6999;37.599;27;37.35;30;12:24:40
202;29.9307;29.692;37.599;30;37.35;30;12:24:41
203;29.9229;29.6999;37.599;27;37.35;30;12:24:41
204;29.9307;29.6999;37.599;30;37.35;30;12:24:42
205;29.9229;29.692;37.599;27;37.35;30;12:24:42
206;29.9307;29.692;37.599;30;37.35;30;12:24:43
207;29.9151;29.6999;37.599;27;37.35;30;12:24:43
208;29.9229;29.692;37.599;33;37.35;30;12:24:44
209;29.9229;29.6842;37.599;30;37.35;30;12:24:44
210;29.9229;29.692;37.599;30;37.35;30;12:24:45
211;29.9229;29.6842;37.599;30;37.35;30;12:24:45
212;29.9229;29.6842;37.599;30;37.35;30;12:24:46
213;29.9229;29.692;37.599;30;37.35;30;12:24:46
214;29.9151;29.692;37.599;30;37.35;30;12:24:47
215;29.9072;29.6999;37.599;33;37.35;30;12:24:47
216;29.9151;29.6999;37.599;33;37.35;30;12:24:48
217;29.9229;29.692;37.599;33;37.35;30;12:24:48
218;29.9229;29.6999;37.599;30;37.35;30;12:24:49
219;29.9307;29.6999;37.599;30;37.35;30;12:24:49
220;29.9229;29.6999;37.599;27;37.35;30;12:24:50
221;29.9307;29.6999;37.599;30;37.35;30;12:24:50
222;29.9229;29.6999;37.599;27;37.35;30;12:24:51
223;29.9307;29.7077;37.599;30;37.35;30;12:24:51
224;29.9307;29.692;37.599;27;37.35;30;12:24:52
225;29.9307;29.6999;37.599;27;37.35;30;12:24:52
226;29.9229;29.6999;37.599;27;37.35;30;12:24:53
227;29.9307;29.6999;37.599;30;37.35;30;12:24:53
228;29.9307;29.6999;37.599;27;37.35;30;12:24:54
229;29.9307;29.6999;37.599;27;37.35;30;12:24:54
230;29.9229;29.6999;37.599;27;37.35;30;12:24:55
231;29.9307;29.7077;37.599;30;37.35;30;12:24:55
232;29.9307;29.6999;37.599;27;37.35;30;12:24:56
233;29.9229;29.6999;37.599;27;37.35;30;12:24:56
234;29.9229;29.7077;37.599;30;37.35;30;12:24:57
235;29.9229;29.7077;37.599;30;37.35;30;12:24:57
236;29.9229;29.6999;37.599;30;37.35;30;12:24:58
237;29.9229;29.6999;37.599;30;37.35;30;12:24:58
238;29.9307;29.7077;37.599;30;37.35;30;12:24:59
239;29.9229;29.6999;37.599;27;37.35;30;12:24:59
240;29.9229;29.7077;37.599;30;37.35;30;12:25:00
241;29.9307;29.7155;37.599;30;37.35;30;12:25:00
242;29.9307;29.7077;37.599;27;37.35;30;12:25:01
243;29.9307;29.7233;37.599;27;37.35;30;12:25:01
244;29.9307;29.7155;37.599;27;37.35;30;12:25:02
245;29.9385;29.7077;37.599;27;37.35;30;12:25:02
246;29.9229;29.7233;37.599;24;37.35;30;12:25:03
247;29.9229;29.7155;37.599;30;37.35;30;12:25:03
248;29.9229;29.7155;37.599;30;37.35;30;12:25:04
249;29.9229;29.7233;37.599;30;37.35;30;12:25:04
250;29.9307;29.7233;37.599;30;37.35;30;12:25:05
251;29.9307;29.7233;37.599;27;37.35;30;12:25:05
252;29.9385;29.7233;37.599;27;37.35;30;12:25:06
253;29.9385;29.7233;37.599;24;37.35;30;12:25:06
254;29.9385;29.7233;37.599;24;37.35;30;12:25:07
255;29.9385;29.7233;37.599;24;37.35;30;12:25:07
256;29.9385;29.7155;37.599;24;37.35;30;12:25:08
257;29.9385;29.7233;37.599;24;37.35;30;12:25:08
258;29.9307;29.7233;37.599;24;37.35;30;12:25:09
259;29.9464;29.7233;37.599;27;37.35;30;12:25:09
260;29.9385;29.7155;37.599;21;37.35;30;12:25:10
261;29.9464;29.7233;37.599;24;37.35;30;12:25:10
262;29.9464;29.7312;37.599;21;37.35;30;12:25:11
263;29.9385;29.7233;37.599;21;37.35;30;12:25:11
264;29.9464;29.7233;37.599;24;37.35;30;12:25:12
265;29.9385;29.7233;37.599;21;37.35;30;12:25:12
266;29.9464;29.7312;37.599;24;37.35;30;12:25:13
267;29.9385;29.7155;37.599;21;37.35;30;12:25:13
268;29.9307;29.7312;37.599;24;37.35;30;12:25:14
269;29.9464;29.7233;37.599;27;37.35;30;12:25:14
270;29.9307;29.7233;37.599;21;37.35;30;12:25:15
271;29.9385;29.7233;37.599;27;37.35;30;12:25:15
272;29.9385;29.7233;37.599;24;37.35;30;12:25:16
273;29.9385;29.7155;37.599;24;37.35;30;12:25:16
274;29.9385;29.7155;37.599;24;37.35;30;12:25:17
275;29.9385;29.7155;37.599;24;37.35;30;12:25:17
276;29.9385;29.7233;37.599;24;37.35;30;12:25:18
277;29.9385;29.7233;37.599;24;37.35;30;12:25:18
278;29.9464;29.7233;37.599;24;37.35;30;12:25:19
279;29.9464;29.7233;37.599;21;37.35;30;12:25:19
280;29.9385;29.7155;37.599;21;37.35;30;12:25:20
281;29.9464;29.7233;37.599;24;37.35;30;12:25:20
282;29.9385;29.7155;37.599;21;37.35;30;12:25:21
283;29.9385;29.7155;37.599;24;37.35;30;12:25:21
284;29.9385;29.7155;37.599;24;37.35;30;12:25:22
285;29.9385;29.7155;37.599;24;37.35;30;12:25:22
286;29.9385;29.7077;37.599;24;37.35;30;12:25:23
287;29.9385;29.7077;37.599;24;37.35;30;12:25:23
288;29.9307;29.7077;37.599;24;37.35;30;12:25:24
289;29.9385;29.7155;37.599;27;37.35;30;12:25:24
290;29.9385;29.7077;37.599;24;37.35;30;12:25:25
291;29.9385;29.7155;37.599;24;37.35;30;12:25:25
292;29.9307;29.7077;37.599;24;37.35;30;12:25:26
293;29.9307;29.7155;37.599;27;37.35;30;12:25:26
294;29.9385;29.7155;37.599;27;37.35;30;12:25:27
295;29.9385;29.7155;37.599;24;37.35;30;12:25:27
296;29.9385;29.7077;37.599;24;37.35;30;12:25:28
297;29.9307;29.7155;37.599;24;37.35;30;12:25:28
298;29.9385;29.7155;37.599;27;37.35;30;12:25:29
299;29.9385;29.7077;37.599;24;37.35;30;12:25:29
300;29.9385;29.7155;37.599;24;37.35;30;12:25:30
301;29.9385;29.7233;37.599;24;37.35;30;12:25:30
302;29.9464;29.7233;37.599;24;37.35;30;12:25:31
303;29.9464;29.7077;37.599;21;37.35;30;12:25:31
304;29.9385;29.7155;37.599;21;37.35;30;12:25:32
305;29.9385;29.7155;37.599;24;37.35;30;12:25:32
306;29.9385;29.7155;37.599;24;37.35;30;12:25:33
307;29.9464;29.7155;37.599;24;37.35;30;12:25:33
308;29.9385;29.7155;37.599;21;37.35;30;12:25:34
309;29.9385;29.7155;37.599;24;37.35;30;12:25:34
310;29.9385;29.7233;37.599;24;37.35;30;12:25:35
311;29.9464;29.7155;37.599;24;37.35;30;12:25:35
312;29.9464;29.7233;37.599;21;37.35;30;12:25:36
313;29.9385;29.7155;37.599;21;37.35;30;12:25:36
314;29.9307;29.7155;37.599;24;37.35;30;12:25:37
315;29.9385;29.7233;37.599;27;37.35;30;12:25:37
316;29.9307;29.7155;37.599;24;37.35;30;12:25:38
317;29.9229;29.7233;37.599;27;37.35;30;12:25:38
318;29.9307;29.7155;37.599;30;37.35;30;12:25:39
319;29.9385;29.7233;37.599;27;37.35;30;12:25:39
320;29.9307;29.7077;37.599;24;37.35;30;12:25:40
321;29.9307;29.7077;37.599;27;37.35;30;12:25:40
322;29.9307;29.7077;37.599;27;37.35;30;12:25:41
323;29.9307;29.7077;37.599;27;37.35;30;12:25:41
324;29.9307;29.7155;37.599;27;37.35;30;12:25:42
325;29.9385;29.7155;37.599;27;37.35;30;12:25:42
326;29.9307;29.7155;37.599;24;37.35;30;12:25:43
327;29.9307;29.7077;37.599;27;37.35;30;12:25:43
328;29.9464;29.7155;37.599;27;37.35;30;12:25:44
329;29.9307;29.7155;37.599;21;37.35;30;12:25:44
330;29.9307;29.7155;37.599;27;37.35;30;12:25:45
331;29.9307;29.7155;37.599;27;37.35;30;12:25:45
332;29.9385;29.7077;37.599;27;37.35;30;12:25:46
333;29.9307;29.7077;37.599;24;37.35;30;12:25:46
334;29.9307;29.7077;37.599;27;37.35;30;12:25:47
335;29.9307;29.6999;37.599;27;37.35;30;12:25:47
336;29.9464;29.7077;37.599;27;37.35;30;12:25:48
337;29.9307;29.7077;37.599;21;37.35;30;12:25:48
338;29.9385;29.7077;37.599;27;37.35;30;12:25:49
339;29.9307;29.7155;37.599;24;37.35;30;12:25:49
340;29.9385;29.7077;37.599;27;37.35;30;12:25:50
341;29.9307;29.7155;37.599;24;37.35;30;12:25:50
342;29.9385;29.7077;37.599;27;37.35;30;12:25:51
343;29.9385;29.7155;37.599;24;37.35;30;12:25:51
344;29.9307;29.7155;37.599;24;37.35;30;12:25:52
345;29.9385;29.7155;37.599;27;37.35;30;12:25:52
346;29.9385;29.7233;37.599;24;37.35;30;12:25:53
347;29.9385;29.7155;37.599;24;37.35;30;12:25:53
348;29.9385;29.7155;37.599;24;37.35;30;12:25:54
349;29.9307;29.7155;37.599;24;37.35;30;12:25:54
350;29.9385;29.7233;37.599;27;37.35;30;12:25:55
351;29.9307;29.7155;37.599;24;37.35;30;12:25:55
352;29.9307;29.7155;37.599;27;37.35;30;12:25:56
353;29.9307;29.7155;37.599;27;37.35;30;12:25:56
354;29.9385;29.7155;37.599;27;37.35;30;12:25:57
355;29.9307;29.7155;37.599;24;37.35;30;12:25:57
356;29.9385;29.7233;37.599;27;37.35;30;12:25:58
357;29.9307;29.7233;37.599;24;37.35;30;12:25:58
358;29.9385;29.7155;37.599;27;37.35;30;12:25:59
359;29.9385;29.7233;37.599;24;37.35;30;12:25:59
360;29.9307;29.7155;37.599;24;37.35;30;12:26:00
361;29.9464;29.7077;37.599;27;37.35;30;12:26:00
362;29.9385;29.7155;37.599;21;37.35;30;12:26:01
363;29.9385;29.7155;37.599;24;37.35;30;12:26:01
364;29.9307;29.7233;37.599;24;37.35;30;12:26:02
365;29.9385;29.7077;37.599;24;37.35;30;12:26:02
366;29.9385;29.7155;37.599;24;37.35;30;12:26:03
367;29.9385;29.7155;37.599;24;37.35;30;12:26:03
