Number;DT1;DT2;DT3;P_now;T_imp;K_prop;T_stab;Time;;;;;;;;;;;
8;26.2295;26.2138;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
9;26.2295;26.2099;17.5515;0;None;1000;None;11:06:14;;;;;;;;;;;
10;26.2295;26.2138;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
11;26.2295;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
12;26.2451;26.2099;17.5515;0;None;1000;None;11:06:14;;;;;;;;;;;
13;26.2295;26.2138;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
14;26.2295;26.2099;17.5515;0;None;1000;None;11:06:14;;;;;;;;;;;
15;26.2295;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
16;26.2373;26.2099;17.5515;0;None;1000;None;11:06:14;;;;;;;;;;;
17;26.2295;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
18;26.2373;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
19;26.2373;26.2138;17.5515;0;None;1000;None;11:06:14;;;;;;;;;;;
20;26.2373;26.2099;17.5359;0;None;1000;None;11:06:14;;;;;;;;;;;
21;26.2295;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
22;26.2373;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
23;26.2216;26.2099;17.5359;0;None;1000;None;11:06:14;;;;;;;;;;;
24;26.2295;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
25;26.2295;26.2138;17.5359;0;None;1000;None;11:06:14;;;;;;;;;;;
26;26.2295;26.2099;17.5359;0;None;1000;None;11:06:14;;;;;;;;;;;
27;26.2295;26.2138;17.5359;0;None;1000;None;11:06:14;;;;;;;;;;;
28;26.2295;26.2138;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
29;26.2295;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
30;26.2373;26.2021;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
31;26.2295;26.2138;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
32;26.2373;26.2099;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
33;26.2373;26.2138;17.5359;0;None;1000;None;11:06:14;;;;;;;;;;;
34;26.2373;26.2177;17.5359;0;None;1000;None;11:06:14;;;;;;;;;;;
35;26.2373;26.2138;17.528;0;None;1000;None;11:06:14;;;;;;;;;;;
36;26.2373;26.2138;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
37;26.2373;26.2099;17.5359;0;None;1000;None;11:06:14;;;;;;;;;;;
38;26.2373;26.2138;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
39;26.2451;26.2138;17.5437;0;None;1000;None;11:06:14;;;;;;;;;;;
