Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time;;;;;;;;;
1;20.1533;20.3724;12.4613;-256.269;-256.645;-256.888;-256.958;-255.988;0;None;1000;None;10:39:07;;;;;;;;;
2;20.1533;20.3685;12.4535;-256.269;-256.653;-256.903;-256.966;-255.98;0;None;1000;None;10:39:08;;;;;;;;;
3;20.1533;20.3724;12.4457;-256.262;-256.668;-256.911;-256.966;-255.972;0;None;1000;None;10:39:08;;;;;;;;;
4;20.1612;20.3724;12.4457;-256.254;-256.668;-256.919;-256.974;-255.972;0;None;1000;None;10:39:09;;;;;;;;;
5;20.1612;20.3764;12.4457;-256.25;-256.661;-256.911;-256.981;-255.972;0;None;1000;None;10:39:09;;;;;;;;;
6;20.1533;20.3724;12.43;-256.254;-256.668;-256.919;-256.981;-255.964;0;None;1000;None;10:39:10;;;;;;;;;
7;20.1533;20.3685;12.43;-256.254;-256.676;-256.927;-256.981;-255.956;0;None;1000;None;10:39:10;;;;;;;;;
8;20.1455;20.3724;12.43;-256.25;-256.661;-256.919;-256.981;-255.964;0;None;1000;None;10:39:11;;;;;;;;;
9;20.1612;20.3724;12.43;-256.254;-256.676;-256.927;-256.989;-255.964;0;None;1000;None;10:39:11;;;;;;;;;
10;20.1533;20.3685;12.4222;-256.254;-256.676;-256.927;-256.989;-255.964;0;None;1000;None;10:39:12;;;;;;;;;
11;20.1455;20.3685;12.4144;-256.25;-256.676;-256.919;-256.997;-255.956;0;None;1000;None;10:39:12;;;;;;;;;
12;20.1612;20.3724;12.4066;-256.254;-256.676;-256.919;-256.989;-255.964;0;None;1000;None;10:39:13;;;;;;;;;
13;20.1455;20.3685;12.3987;-256.25;-256.684;-256.919;-256.997;-255.956;0;None;1000;None;10:39:13;;;;;;;;;
14;20.1533;20.3685;12.4066;-256.25;-256.684;-256.919;-256.997;-255.964;0;None;1000;None;10:39:14;;;;;;;;;
15;20.1533;20.3685;12.3909;-256.25;-256.676;-256.919;-256.989;-255.964;0;None;1000;None;10:39:14;;;;;;;;;
16;20.1612;20.3685;12.3831;-256.246;-256.676;-256.919;-256.997;-255.964;0;None;1000;None;10:39:15;;;;;;;;;
17;20.1533;20.3724;12.3909;-256.25;-256.676;-256.927;-256.989;-255.956;0;None;1000;None;10:39:15;;;;;;;;;
18;20.1612;20.3685;12.3831;-256.246;-256.684;-256.927;-256.997;-255.964;0;None;1000;None;10:39:16;;;;;;;;;
19;20.1612;20.3724;12.3831;-256.246;-256.676;-256.927;-256.989;-255.964;0;None;1000;None;10:39:16;;;;;;;;;
20;20.1612;20.3685;12.3674;-256.246;-256.684;-256.927;-256.997;-255.956;0;None;1000;None;10:39:17;;;;;;;;;
21;20.1533;20.3724;12.3674;-256.246;-256.684;-256.927;-257.005;-255.956;0;None;1000;None;10:39:17;;;;;;;;;
22;20.1612;20.3724;12.3596;-256.246;-256.676;-256.927;-256.989;-255.964;0;None;1000;None;10:39:18;;;;;;;;;
23;20.1612;20.3685;12.3596;-256.246;-256.684;-256.927;-256.997;-255.956;0;None;1000;None;10:39:18;;;;;;;;;
24;20.1533;20.3685;12.3518;-256.246;-256.676;-256.927;-256.989;-255.964;0;None;1000;None;10:39:19;;;;;;;;;
25;20.1612;20.3685;12.3518;-256.246;-256.676;-256.935;-256.997;-255.956;0;None;1000;None;10:39:19;;;;;;;;;
26;20.1533;20.3646;12.344;-256.25;-256.684;-256.919;-256.997;-255.956;0;None;1000;None;10:39:20;;;;;;;;;
27;20.1533;20.3724;12.344;-256.25;-256.692;-256.927;-256.989;-255.964;0;None;1000;None;10:39:20;;;;;;;;;
28;20.1612;20.3685;12.3361;-256.25;-256.684;-256.935;-256.997;-255.949;0;None;1000;None;10:39:21;;;;;;;;;
29;20.1533;20.3646;12.344;-256.246;-256.692;-256.927;-256.997;-255.964;0;None;1000;None;10:39:21;;;;;;;;;
30;20.1612;20.3685;12.3283;-256.246;-256.684;-256.927;-257.005;-255.949;0;None;1000;None;10:39:22;;;;;;;;;
31;20.1612;20.3724;12.3283;-256.25;-256.692;-256.927;-256.997;-255.956;0;None;1000;None;10:39:22;;;;;;;;;
32;20.1612;20.3685;12.3205;-256.246;-256.684;-256.935;-256.997;-255.956;0;None;1000;None;10:39:23;;;;;;;;;
33;20.1533;20.3685;12.3166;-256.25;-256.684;-256.927;-256.997;-255.956;0;None;1000;None;10:39:23;;;;;;;;;
34;20.1455;20.3724;12.3127;-256.246;-256.7;-256.927;-256.989;-255.956;0;None;1000;None;10:39:24;;;;;;;;;
35;20.1533;20.3646;12.3127;-256.246;-256.684;-256.927;-256.997;-255.964;0;None;1000;None;10:39:24;;;;;;;;;
36;20.1533;20.3646;12.3127;-256.25;-256.692;-256.935;-257.005;-255.956;0;None;1000;None;10:39:25;;;;;;;;;
37;20.1612;20.3646;12.3048;-256.25;-256.692;-256.927;-257.005;-255.956;0;None;1000;None;10:39:25;;;;;;;;;
38;20.1533;20.3646;12.3088;-256.246;-256.684;-256.927;-257.005;-255.949;0;None;1000;None;10:39:26;;;;;;;;;
39;20.1533;20.3646;12.3048;-256.25;-256.692;-256.935;-256.997;-255.956;0;None;1000;None;10:39:26;;;;;;;;;
40;20.1533;20.3607;12.3048;-256.25;-256.692;-256.927;-256.997;-255.956;0;None;1000;None;10:39:27;;;;;;;;;
41;20.1533;20.3646;12.3048;-256.254;-256.676;-256.935;-257.013;-255.949;0;None;1000;None;10:39:27;;;;;;;;;
42;20.1612;20.3607;12.3009;-256.254;-256.684;-256.927;-256.997;-255.956;0;None;1000;None;10:39:28;;;;;;;;;
43;20.1612;20.3646;12.2931;-256.25;-256.692;-256.927;-257.005;-255.949;0;None;1000;None;10:39:28;;;;;;;;;
44;20.1612;20.3529;12.2931;-256.246;-256.684;-256.927;-257.005;-255.949;0;None;1000;None;10:39:29;;;;;;;;;
