Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
7;21.4445;21.4719;21.6557;-256.269;-256.692;-256.911;-256.966;-255.98;0;None;1000;None;14-04 09:55:04.141
8;21.4445;21.4719;21.6597;-256.269;-256.684;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:04.145
9;21.4445;21.464;21.6557;-256.269;-256.684;-256.903;-256.974;-255.98;0;None;1000;None;14-04 09:55:04.147
10;21.4366;21.464;21.6597;-256.262;-256.684;-256.911;-256.981;-255.964;0;None;1000;None;14-04 09:55:04.149
11;21.4366;21.4719;21.6557;-256.269;-256.684;-256.903;-256.966;-255.972;0;None;1000;None;14-04 09:55:04.152
12;21.4445;21.4719;21.6557;-256.262;-256.684;-256.919;-256.974;-255.972;0;None;1000;None;14-04 09:55:04.153
13;21.4366;21.4719;21.6557;-256.269;-256.692;-256.911;-256.966;-255.972;0;None;1000;None;14-04 09:55:04.155
14;21.4366;21.4719;21.6557;-256.262;-256.676;-256.911;-256.966;-255.964;0;None;1000;None;14-04 09:55:04.493
15;21.4445;21.4719;21.6597;-256.269;-256.676;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:04.991
16;21.4366;21.4719;21.6557;-256.269;-256.692;-256.919;-256.966;-255.964;0;None;1000;None;14-04 09:55:05.490
17;21.4445;21.4719;21.6557;-256.269;-256.676;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:05.990
18;21.4366;21.4719;21.6557;-256.269;-256.676;-256.919;-256.974;-255.964;0;None;1000;None;14-04 09:55:06.492
19;21.4445;21.4719;21.6597;-256.269;-256.684;-256.911;-256.974;-255.964;0;None;1000;None;14-04 09:55:06.991
20;21.4366;21.4797;21.6557;-256.269;-256.684;-256.911;-256.981;-255.964;0;None;1000;None;14-04 09:55:07.489
21;21.4445;21.4719;21.6557;-256.269;-256.676;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:07.991
22;21.4445;21.4719;21.6597;-256.262;-256.692;-256.911;-256.974;-255.964;0;None;1000;None;14-04 09:55:08.489
23;21.4445;21.4719;21.6557;-256.277;-256.684;-256.919;-256.974;-255.964;0;None;1000;None;14-04 09:55:08.989
24;21.4445;21.4797;21.6557;-256.269;-256.684;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:09.496
25;21.4523;21.4797;21.6557;-256.262;-256.684;-256.911;-256.974;-255.964;0;None;1000;None;14-04 09:55:09.992
26;21.4523;21.4719;21.6597;-256.269;-256.692;-256.911;-256.981;-255.972;0;None;1000;None;14-04 09:55:10.491
27;21.4523;21.4797;21.6557;-256.277;-256.684;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:10.989
28;21.4523;21.4719;21.6557;-256.269;-256.692;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:11.490
29;21.4523;21.4719;21.6557;-256.269;-256.684;-256.911;-256.966;-255.972;0;None;1000;None;14-04 09:55:11.990
30;21.4523;21.4797;21.6518;-256.269;-256.692;-256.919;-256.974;-255.972;0;None;1000;None;14-04 09:55:12.489
31;21.4523;21.4719;21.6597;-256.269;-256.684;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:12.989
32;21.4523;21.4797;21.6597;-256.269;-256.692;-256.911;-256.981;-255.964;0;None;1000;None;14-04 09:55:13.489
33;21.4445;21.4719;21.6597;-256.269;-256.692;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:13.991
34;21.4445;21.4719;21.6557;-256.269;-256.692;-256.911;-256.974;-255.964;0;None;1000;None;14-04 09:55:14.488
35;21.4523;21.4797;21.6597;-256.269;-256.692;-256.911;-256.974;-255.972;0;None;1000;None;14-04 09:55:14.988
36;21.4523;21.4719;21.6557;-256.269;-256.692;-256.911;-256.966;-255.964;0;None;1000;None;14-04 09:55:15.489
