Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
1;28.0644;27.9823;27.6223;-256.285;-256.684;-256.848;-256.915;-255.941;0;None;1000;1000;None;16:48:59.512
2;28.0723;27.9823;27.6223;-256.285;-256.684;-256.841;-256.919;-255.937;0;None;1000;1000;None;16:48:59.803
3;28.0644;27.9901;27.6223;-256.293;-256.676;-256.848;-256.915;-255.941;0;None;1000;1000;None;16:49:00.299
4;28.0644;27.9901;27.6223;-256.285;-256.684;-256.848;-256.911;-255.937;0;None;1000;1000;None;16:49:00.801
5;28.0644;27.9979;27.6301;-256.285;-256.684;-256.848;-256.915;-255.941;0;None;1000;1000;None;16:49:01.303
6;28.0723;27.9901;27.6301;-256.277;-256.676;-256.848;-256.915;-255.937;0;None;1000;1000;None;16:49:01.796
7;28.0644;27.9823;27.6301;-256.285;-256.668;-256.841;-256.915;-255.941;0;None;1000;1000;None;16:49:02.298
8;28.0644;27.9901;27.6223;-256.293;-256.676;-256.848;-256.915;-255.941;0;None;1000;1000;None;16:49:02.802
9;28.0644;27.9901;27.6223;-256.277;-256.676;-256.841;-256.919;-255.937;0;None;1000;1000;None;16:49:03.301
10;28.0723;27.9823;27.6223;-256.285;-256.676;-256.848;-256.915;-255.937;0;None;1000;1000;None;16:49:03.796
11;28.0644;27.9901;27.6301;-256.285;-256.684;-256.841;-256.919;-255.937;0;None;1000;1000;None;16:49:04.301
12;28.0644;27.9901;27.6145;-256.293;-256.676;-256.848;-256.919;-255.941;0;None;1000;1000;None;16:49:04.800
13;28.0644;27.9823;27.6223;-256.285;-256.684;-256.848;-256.919;-255.937;0;None;1000;1000;None;16:49:05.301
14;28.0723;27.9823;27.6223;-256.285;-256.684;-256.848;-256.935;-255.941;0;None;1000;1000;None;16:49:05.801
15;28.0644;27.9901;27.6223;-256.285;-256.684;-256.841;-256.927;-255.941;0;None;1000;1000;None;16:49:06.297
16;28.0644;27.9901;27.6223;-256.285;-256.684;-256.848;-256.915;-255.941;0;None;1000;1000;None;16:49:06.801
