Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
3;35.2204;34.7353;27.5519;-256.293;-256.684;-256.856;-256.927;-255.964;0;None;1000;1000;None;2025-19-23 11:19:42.120
4;35.2165;34.7274;27.5441;-256.293;-256.684;-256.856;-256.927;-255.964;0;None;1000;1000;None;2025-19-23 11:19:42.604
5;35.2165;34.7196;27.5441;-256.293;-256.684;-256.848;-256.919;-255.964;0;None;1000;1000;None;2025-19-23 11:19:43.103
6;35.2126;34.7274;27.5519;-256.293;-256.684;-256.856;-256.927;-255.956;0;None;1000;1000;None;2025-19-23 11:19:43.603
7;35.2087;34.7196;27.5362;-256.293;-256.684;-256.848;-256.927;-255.956;0;None;1000;1000;None;2025-19-23 11:19:44.104
8;35.2087;34.7196;27.5441;-256.293;-256.684;-256.856;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:44.604
9;35.2087;34.7274;27.5441;-256.293;-256.684;-256.856;-256.927;-255.956;0;None;1000;1000;None;2025-19-23 11:19:45.104
10;35.2087;34.7196;27.5362;-256.293;-256.668;-256.848;-256.927;-255.956;0;None;1000;1000;None;2025-19-23 11:19:45.604
11;35.2009;34.7196;27.5362;-256.293;-256.676;-256.848;-256.935;-255.964;0;None;1000;1000;None;2025-19-23 11:19:46.103
12;35.193;34.7157;27.5441;-256.293;-256.684;-256.856;-256.935;-255.949;0;None;1000;1000;None;2025-19-23 11:19:46.602
13;35.193;34.7196;27.5362;-256.293;-256.676;-256.848;-256.927;-255.964;0;None;1000;1000;None;2025-19-23 11:19:47.103
14;35.1852;34.7157;27.5441;-256.293;-256.684;-256.856;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:47.604
15;35.1774;34.7157;27.5362;-256.293;-256.684;-256.848;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:48.104
16;35.1696;34.7157;27.5362;-256.293;-256.676;-256.856;-256.935;-255.949;0;None;1000;1000;None;2025-19-23 11:19:48.605
17;35.1696;34.7157;27.5362;-256.285;-256.668;-256.856;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:49.103
18;35.1617;34.7079;27.5362;-256.285;-256.676;-256.848;-256.927;-255.949;0;None;1000;1000;None;2025-19-23 11:19:49.604
19;35.1539;34.7079;27.5362;-256.285;-256.676;-256.856;-256.927;-255.956;0;None;1000;1000;None;2025-19-23 11:19:50.104
20;35.1539;34.7079;27.5362;-256.293;-256.676;-256.856;-256.935;-255.949;0;None;1000;1000;None;2025-19-23 11:19:50.604
21;35.1383;34.704;27.5362;-256.285;-256.676;-256.856;-256.927;-255.956;0;None;1000;1000;None;2025-19-23 11:19:51.104
22;35.1383;34.7079;27.5441;-256.293;-256.676;-256.848;-256.942;-255.964;0;None;1000;1000;None;2025-19-23 11:19:51.604
23;35.1226;34.704;27.5441;-256.285;-256.684;-256.856;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:52.103
24;35.1226;34.7001;27.5362;-256.293;-256.684;-256.864;-256.927;-255.956;0;None;1000;1000;None;2025-19-23 11:19:52.603
25;35.1226;34.7001;27.5441;-256.285;-256.676;-256.848;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:53.104
26;35.107;34.6922;27.5362;-256.293;-256.684;-256.856;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:53.603
27;35.107;34.6844;27.5441;-256.285;-256.684;-256.848;-256.935;-255.964;0;None;1000;1000;None;2025-19-23 11:19:54.103
28;35.0991;34.6922;27.5362;-256.293;-256.684;-256.856;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:54.604
29;35.0991;34.6922;27.5441;-256.293;-256.684;-256.856;-256.942;-255.956;0;None;1000;1000;None;2025-19-23 11:19:55.103
30;35.0835;34.6844;27.5441;-256.301;-256.684;-256.856;-256.935;-255.956;0;None;1000;1000;None;2025-19-23 11:19:55.603
31;35.0835;34.6766;27.5519;-256.301;-256.684;-256.856;-256.942;-255.956;0;None;1000;1000;None;2025-19-23 11:19:56.103
32;35.0757;34.6688;27.5362;-256.293;-256.684;-256.856;-256.935;-255.964;0;None;1000;1000;None;2025-19-23 11:19:56.603
33;35.0678;34.6688;27.5441;-256.301;-256.684;-256.848;-256.935;-255.964;0;None;1000;1000;None;2025-19-23 11:19:57.103
