Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
1;31.5348;31.4605;30.9832;-256.285;-256.653;-256.864;-256.907;-255.988;0;None;1000;1000;None;2025-05-12 11:11:07.651
2;31.5427;31.4644;30.991;-256.277;-256.653;-256.856;-256.907;-255.988;0;None;1000;1000;None;2025-05-12 11:11:07.814
3;31.5427;31.4644;30.991;-256.277;-256.653;-256.864;-256.907;-255.988;0;None;1000;1000;None;2025-05-12 11:11:08.314
4;31.5427;31.4683;30.9832;-256.285;-256.645;-256.856;-256.907;-255.988;0;None;1000;1000;None;2025-05-12 11:11:08.815
5;31.5427;31.4644;30.991;-256.277;-256.653;-256.864;-256.903;-255.988;0;None;1000;1000;None;2025-05-12 11:11:09.314
6;31.5427;31.4644;30.9832;-256.277;-256.653;-256.856;-256.907;-255.996;0;None;1000;1000;None;2025-05-12 11:11:09.815
7;31.5427;31.4644;30.9832;-256.285;-256.653;-256.864;-256.911;-255.98;0;None;1000;1000;None;2025-05-12 11:11:10.314
8;31.5427;31.4683;30.9793;-256.277;-256.645;-256.856;-256.903;-255.98;0;None;1000;1000;None;2025-05-12 11:11:10.814
9;31.5427;31.4644;30.9832;-256.269;-256.653;-256.864;-256.907;-255.98;0;None;1000;1000;None;2025-05-12 11:11:11.314
10;31.5427;31.4644;30.9793;-256.285;-256.645;-256.856;-256.903;-255.988;0;None;1000;1000;None;2025-05-12 11:11:11.815
11;31.5427;31.4644;30.9832;-256.277;-256.645;-256.864;-256.907;-255.98;0;None;1000;1000;None;2025-05-12 11:11:12.315
12;31.5427;31.4644;30.9793;-256.277;-256.653;-256.856;-256.903;-255.988;0;None;1000;1000;None;2025-05-12 11:11:12.814
13;31.5427;31.4644;30.9832;-256.285;-256.637;-256.864;-256.903;-255.98;0;None;1000;1000;None;2025-05-12 11:11:13.314
14;31.5348;31.4683;30.9793;-256.269;-256.645;-256.856;-256.907;-255.98;0;None;1000;1000;None;2025-05-12 11:11:13.814
15;31.5427;31.4644;30.9832;-256.277;-256.637;-256.856;-256.907;-255.988;0;None;1000;1000;None;2025-05-12 11:11:14.314
16;31.5427;31.4683;30.9832;-256.277;-256.645;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:14.815
17;31.5348;31.4644;30.9793;-256.285;-256.645;-256.864;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:15.315
18;31.5427;31.4644;30.9793;-256.277;-256.645;-256.856;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:15.815
19;31.5348;31.4683;30.9832;-256.277;-256.645;-256.864;-256.911;-255.972;0;None;1000;1000;None;2025-05-12 11:11:16.314
20;31.5348;31.4644;30.9832;-256.269;-256.645;-256.864;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:16.814
21;31.5348;31.4605;30.9832;-256.277;-256.645;-256.856;-256.911;-255.964;0;None;1000;1000;None;2025-05-12 11:11:17.315
22;31.5427;31.4644;30.9793;-256.277;-256.645;-256.864;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:17.814
23;31.527;31.4683;30.9793;-256.285;-256.645;-256.864;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:18.314
24;31.5348;31.4683;30.991;-256.285;-256.645;-256.856;-256.911;-255.972;0;None;1000;1000;None;2025-05-12 11:11:18.814
25;31.5348;31.4683;30.991;-256.285;-256.645;-256.864;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:19.315
26;31.5427;31.4644;30.9832;-256.285;-256.645;-256.856;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:19.814
27;31.5427;31.4683;30.9832;-256.285;-256.645;-256.864;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:20.315
28;31.5427;31.4644;30.9832;-256.293;-256.645;-256.864;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:20.815
29;31.5505;31.4605;30.9832;-256.285;-256.645;-256.864;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:21.315
30;31.5427;31.4644;30.9832;-256.285;-256.653;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:21.815
31;31.5427;31.4605;30.9832;-256.285;-256.653;-256.864;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:22.314
32;31.5348;31.4644;30.9832;-256.285;-256.653;-256.864;-256.899;-255.964;0;None;1000;1000;None;2025-05-12 11:11:22.814
33;31.5348;31.4605;30.9793;-256.285;-256.645;-256.856;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:23.314
34;31.5348;31.4644;30.991;-256.293;-256.653;-256.864;-256.911;-255.964;0;None;1000;1000;None;2025-05-12 11:11:23.816
35;31.5348;31.4683;30.9832;-256.293;-256.653;-256.856;-256.903;-255.972;0;None;1000;1000;None;2025-05-12 11:11:24.315
36;31.5348;31.4644;30.9832;-256.285;-256.653;-256.864;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:24.814
37;31.5348;31.4605;30.9832;-256.293;-256.653;-256.856;-256.911;-255.972;0;None;1000;1000;None;2025-05-12 11:11:25.315
38;31.5348;31.4644;30.9793;-256.285;-256.653;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:25.814
39;31.5348;31.4644;30.9793;-256.285;-256.661;-256.864;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:26.314
40;31.5348;31.4644;30.9793;-256.285;-256.653;-256.848;-256.903;-255.972;0;None;1000;1000;None;2025-05-12 11:11:26.814
41;31.527;31.4644;30.9753;-256.285;-256.653;-256.848;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:27.315
42;31.5348;31.4644;30.9753;-256.285;-256.653;-256.856;-256.903;-255.972;0;None;1000;1000;None;2025-05-12 11:11:27.816
43;31.527;31.4644;30.9753;-256.277;-256.661;-256.848;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:28.315
44;31.5348;31.4683;30.9714;-256.285;-256.653;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:28.815
